Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword331	Damage	1		tors	shld									gpv	gpv	gpv				dmg-max		33	33	dmg-min		12	12	dmg-mag		50	60																	0
Runeword332	Damage	1		tors	shld									gpv	gpv	gpv	gpv			dmg-max		35	35	dmg-min		14	14	bar		1	1	dmg-mag		60	70													0
Runeword333	Damage	1		tors	shld									gpv	gpv	gpv	gpv	gpv		dmg-max		37	37	dmg-min		17	17	bar		2	2	dmg-mag		70	80													0
Runeword334	Damage	1		tors	shld									gpv	gpv	gpv	gpv	gpv	gpv	dmg-max		39	39	dmg-min		19	19	bar		3	3	dmg-mag		80	90													0
Runeword335	Energy	1		tors	shld									gcy						mana		10	10																									0
Runeword336	Energy	1		tors	shld									gcy	gcy					mana		13	13																									0
Runeword337	Energy	1		tors	shld									gcy	gcy	gcy				mana		15	15																									0
Runeword338	Energy	1		tors	shld									gcy	gcy	gcy	gcy			mana		18	18																									0
Runeword339	Energy	1		tors	shld									gcy	gcy	gcy	gcy	gcy		mana		20	20																									0
Runeword340	Energy	1		tors	shld									gcy	gcy	gcy	gcy	gcy	gcy	mana		23	23																									0
Runeword341	Energy	1		tors	shld									gfy						mana		15	15																									0
Runeword342	Energy	1		tors	shld									gfy	gfy					mana		20	20																									0
Runeword343	Energy	1		tors	shld									gfy	gfy	gfy				mana		25	25																									0
Runeword344	Energy	1		tors	shld									gfy	gfy	gfy	gfy			mana		30	30																									0
Runeword345	Energy	1		tors	shld									gfy	gfy	gfy	gfy	gfy		mana		35	35																									0
Runeword346	Energy	1		tors	shld									gfy	gfy	gfy	gfy	gfy	gfy	mana		40	40																									0
Runeword347	Energy	1		tors	shld									gsy						mana		15	15	regen-mana		20	20																					0
Runeword348	Energy	1		tors	shld									gsy	gsy					mana		20	20	regen-mana		30	30																					0
Runeword349	Energy	1		tors	shld									gsy	gsy	gsy				mana		25	25	regen-mana		40	40																					0
Runeword350	Energy	1		tors	shld									gsy	gsy	gsy	gsy			mana		30	30	regen-mana		50	50																					0
Runeword351	Energy	1		tors	shld									gsy	gsy	gsy	gsy	gsy		mana		35	35	regen-mana		60	60																					0
Runeword352	Energy	1		tors	shld									gsy	gsy	gsy	gsy	gsy	gsy	mana		40	40	regen-mana		70	70																					0
Runeword353	Energy	1		tors	shld									gly						mana		15	15	regen-mana		30	30																					0
Runeword354	Energy	1		tors	shld									gly	gly					mana		20	20	regen-mana		40	40																					0
Runeword355	Energy	1		tors	shld									gly	gly	gly				mana		25	25	regen-mana		60	60																					0
Runeword356	Energy	1		tors	shld									gly	gly	gly	gly			mana		30	30	regen-mana		73	73																					0
Runeword357	Energy	1		tors	shld									gly	gly	gly	gly	gly		mana		35	35	regen-mana		88	88																					0
Runeword358	Energy	1		tors	shld									gly	gly	gly	gly	gly	gly	mana		40	40	regen-mana		103	103																					0
Runeword359	Energy	1		tors	shld									gpy						mana		15	15	regen-mana		30	30	mana%		5	5																	0
Runeword360	Energy	1		tors	shld									gpy	gpy					mana		20	20	regen-mana		40	40	mana%		7	7																	0
Runeword361	Energy	1		tors	shld									gpy	gpy	gpy				mana		25	25	regen-mana		60	60	mana%		10	10																	0
Runeword362	Energy	1		tors	shld									gpy	gpy	gpy	gpy			mana		30	30	regen-mana		73	73	sor		1	1	mana%		12	12													0
Runeword363	Energy	1		tors	shld									gpy	gpy	gpy	gpy	gpy		mana		35	35	regen-mana		88	88	sor		2	2	mana%		14	14													0
Runeword364	Energy	1		tors	shld									gpy	gpy	gpy	gpy	gpy	gpy	mana		40	40	regen-mana		103	103	sor		3	3	mana%		17	17													0
Runeword365	Life	1		tors	shld									gcr						lifesteal		1	1																									0
Runeword366	Life	1		tors	shld									gcr	gcr					lifesteal		2	2																									0
Runeword367	Life	1		tors	shld									gcr	gcr	gcr				lifesteal		3	3																									0
Runeword368	Life	1		tors	shld									gcr	gcr	gcr	gcr			lifesteal		4	4																									0
Runeword369	Life	1		tors	shld									gcr	gcr	gcr	gcr	gcr		lifesteal		5	5																									0
Runeword370	Life	1		tors	shld									gcr	gcr	gcr	gcr	gcr	gcr	lifesteal		6	6																									0
Runeword371	Life	1		tors	shld									gfr						lifesteal		3	3																									0
Runeword372	Life	1		tors	shld									gfr	gfr					lifesteal		4	4																									0
Runeword373	Life	1		tors	shld									gfr	gfr	gfr				lifesteal		5	5																									0
Runeword374	Life	1		tors	shld									gfr	gfr	gfr	gfr			lifesteal		6	6																									0
Runeword375	Life	1		tors	shld									gfr	gfr	gfr	gfr	gfr		lifesteal		7	7																									0
Runeword376	Life	1		tors	shld									gfr	gfr	gfr	gfr	gfr	gfr	lifesteal		8	8																									0
Runeword377	Life	1		tors	shld									gsr						lifesteal		3	3	vit		5	5																					0
Runeword378	Life	1		tors	shld									gsr	gsr					lifesteal		4	4	vit		7	7																					0
Runeword379	Life	1		tors	shld									gsr	gsr	gsr				lifesteal		5	5	vit		10	10																					0
Runeword380	Life	1		tors	shld									gsr	gsr	gsr	gsr			lifesteal		6	6	vit		12	12																					0
Runeword381	Life	1		tors	shld									gsr	gsr	gsr	gsr	gsr		lifesteal		7	7	vit		15	15																					0
Runeword382	Life	1		tors	shld									gsr	gsr	gsr	gsr	gsr	gsr	lifesteal		8	8	vit		17	17																					0
Runeword383	Life	1		tors	shld									glr						lifesteal		3	3	vit		10	10																					0
Runeword384	Life	1		tors	shld									glr	glr					lifesteal		4	4	vit		13	13																					0
Runeword385	Life	1		tors	shld									glr	glr	glr				lifesteal		5	5	vit		15	15																					0
Runeword386	Life	1		tors	shld									glr	glr	glr	glr			lifesteal		6	6	vit		18	18																					0
Runeword387	Life	1		tors	shld									glr	glr	glr	glr	glr		lifesteal		7	7	vit		20	20																					0
Runeword388	Life	1		tors	shld									glr	glr	glr	glr	glr	glr	lifesteal		8	8	vit		23	23																					0
Runeword389	Life	1		tors	shld									gpr						lifesteal		3	3	vit		10	10	hp%		5	5																	0
Runeword390	Life	1		tors	shld									gpr	gpr					lifesteal		4	4	vit		13	13	hp%		7	7																	0
Runeword391	Life	1		tors	shld									gpr	gpr	gpr				lifesteal		5	5	vit		15	15	hp%		10	10																	0
Runeword392	Life	1		tors	shld									gpr	gpr	gpr	gpr			lifesteal		6	6	vit		18	18	ass		1	1	hp%		12	12													0
Runeword393	Life	1		tors	shld									gpr	gpr	gpr	gpr	gpr		lifesteal		7	7	vit		20	20	ass		2	2	hp%		14	14													0
Runeword394	Life	1		tors	shld									gpr	gpr	gpr	gpr	gpr	gpr	lifesteal		8	8	vit		23	23	ass		3	3	hp%		17	17													0
Runeword395	Magic	1		tors	shld									skc						mag%		10	10																									0
Runeword396	Magic	1		tors	shld									skc	skc					mag%		15	15																									0
Runeword397	Magic	1		tors	shld									skc	skc	skc				mag%		20	20																									0
Runeword398	Magic	1		tors	shld									skc	skc	skc	skc			mag%		25	25																									0
Runeword399	Magic	1		tors	shld									skc	skc	skc	skc	skc		mag%		30	30																									0
Runeword400	Magic	1		tors	shld									skc	skc	skc	skc	skc	skc	mag%		35	35																									0
Runeword401	Magic	1		tors	shld									skf						mag%		15	15																									0
Runeword402	Magic	1		tors	shld									skf	skf					mag%		20	20																									0
Runeword403	Magic	1		tors	shld									skf	skf	skf				mag%		25	25																									0
Runeword404	Magic	1		tors	shld									skf	skf	skf	skf			mag%		30	30																									0
Runeword405	Magic	1		tors	shld									skf	skf	skf	skf	skf		mag%		35	35																									0
Runeword406	Magic	1		tors	shld									skf	skf	skf	skf	skf	skf	mag%		40	40																									0
Runeword407	Magic	1		tors	shld									sku						mag%		15	15	mana-kill		4	4																					0
Runeword408	Magic	1		tors	shld									sku	sku					mag%		20	20	mana-kill		6	6																					0
Runeword409	Magic	1		tors	shld									sku	sku	sku				mag%		25	25	mana-kill		8	8																					0
Runeword410	Magic	1		tors	shld									sku	sku	sku	sku			mag%		30	30	mana-kill		10	10																					0
Runeword411	Magic	1		tors	shld									sku	sku	sku	sku	sku		mag%		35	35	mana-kill		12	12																					0
Runeword412	Magic	1		tors	shld									sku	sku	sku	sku	sku	sku	mag%		40	40	mana-kill		14	14																					0
Runeword413	Magic	1		tors	shld									skl						mag%		15	15	mana-kill		6	6																					0
Runeword414	Magic	1		tors	shld									skl	skl					mag%		20	20	mana-kill		8	8																					0
Runeword415	Magic	1		tors	shld									skl	skl	skl				mag%		25	25	mana-kill		10	10																					0
Runeword416	Magic	1		tors	shld									skl	skl	skl	skl			mag%		30	30	mana-kill		12	12																					0
Runeword417	Magic	1		tors	shld									skl	skl	skl	skl	skl		mag%		35	35	mana-kill		14	14																					0
Runeword418	Magic	1		tors	shld									skl	skl	skl	skl	skl	skl	mag%		40	40	mana-kill		16	16																					0
Runeword419	Magic	1		tors	shld									skz						mag%		15	15	mana-kill		6	6	cast3		20	20																	0
Runeword420	Magic	1		tors	shld									skz	skz					mag%		20	20	mana-kill		8	8	cast3		30	30																	0
Runeword421	Magic	1		tors	shld									skz	skz	skz				mag%		25	25	mana-kill		10	10	cast3		40	40																	0
Runeword422	Magic	1		tors	shld									skz	skz	skz	skz			mag%		30	30	mana-kill		12	12	nec		1	1	cast3		50	50													0
Runeword423	Magic	1		tors	shld									skz	skz	skz	skz	skz		mag%		35	35	mana-kill		14	14	nec		2	2	cast4		60	60													0
Runeword424	Magic	1		tors	shld									skz	skz	skz	skz	skz	skz	mag%		40	40	mana-kill		16	16	nec		3	3	cast5		70	70													0
Runeword425	Mana	1		tors	shld									gcb						manasteal		1	1																									0
Runeword426	Mana	1		tors	shld									gcb	gcb					manasteal		2	2																									0
Runeword427	Mana	1		tors	shld									gcb	gcb	gcb				manasteal		3	3																									0
Runeword428	Mana	1		tors	shld									gcb	gcb	gcb	gcb			manasteal		4	4																									0
Runeword429	Mana	1		tors	shld									gcb	gcb	gcb	gcb	gcb		manasteal		5	5																									0
Runeword430	Mana	1		tors	shld									gcb	gcb	gcb	gcb	gcb	gcb	manasteal		6	6																									0
Runeword431	Mana	1		tors	shld									gfb						manasteal		3	3																									0
Runeword432	Mana	1		tors	shld									gfb	gfb					manasteal		4	4																									0
Runeword433	Mana	1		tors	shld									gfb	gfb	gfb				manasteal		5	5																									0
Runeword434	Mana	1		tors	shld									gfb	gfb	gfb	gfb			manasteal		6	6																									0
Runeword435	Mana	1		tors	shld									gfb	gfb	gfb	gfb	gfb		manasteal		7	7																									0
Runeword436	Mana	1		tors	shld									gfb	gfb	gfb	gfb	gfb	gfb	manasteal		8	8																									0
Runeword437	Mana	1		tors	shld									gsb						manasteal		3	3	enr		5	5																					0
Runeword438	Mana	1		tors	shld									gsb	gsb					manasteal		4	4	enr		7	7																					0
Runeword439	Mana	1		tors	shld									gsb	gsb	gsb				manasteal		5	5	enr		10	10																					0
Runeword440	Mana	1		tors	shld									gsb	gsb	gsb	gsb			manasteal		6	6	enr		12	12																					0
Runeword441	Mana	1		tors	shld									gsb	gsb	gsb	gsb	gsb		manasteal		7	7	enr		15	15																					0
Runeword442	Mana	1		tors	shld									gsb	gsb	gsb	gsb	gsb	gsb	manasteal		8	8	enr		17	17																					0
Runeword443	Mana	1		tors	shld									glb						manasteal		3	3	enr		10	10																					0
Runeword444	Mana	1		tors	shld									glb	glb					manasteal		4	4	enr		13	13																					0
Runeword445	Mana	1		tors	shld									glb	glb	glb				manasteal		5	5	enr		15	15																					0
Runeword446	Mana	1		tors	shld									glb	glb	glb	glb			manasteal		6	6	enr		18	18																					0
Runeword447	Mana	1		tors	shld									glb	glb	glb	glb	glb		manasteal		7	7	enr		20	20																					0
Runeword448	Mana	1		tors	shld									glb	glb	glb	glb	glb	glb	manasteal		8	8	enr		23	23																					0
Runeword449	Mana	1		tors	shld									gpb						manasteal		3	3	enr		10	10	abs-cold%		5	5																	0
Runeword450	Mana	1		tors	shld									gpb	gpb					manasteal		4	4	enr		13	13	abs-cold%		7	7																	0
Runeword451	Mana	1		tors	shld									gpb	gpb	gpb				manasteal		5	5	enr		15	15	abs-cold%		10	10																	0
Runeword452	Mana	1		tors	shld									gpb	gpb	gpb	gpb			manasteal		6	6	enr		18	18	dru		1	1	abs-cold%		12	12													0
Runeword453	Mana	1		tors	shld									gpb	gpb	gpb	gpb	gpb		manasteal		7	7	enr		20	20	dru		2	2	abs-cold%		14	14													0
Runeword454	Mana	1		tors	shld									gpb	gpb	gpb	gpb	gpb	gpb	manasteal		8	8	enr		23	23	dru		3	3	abs-cold%		17	17													0
Runeword455	Power	1		tors	shld									gcg						swing1		5	5																									0
Runeword456	Power	1		tors	shld									gcg	gcg					swing2		6	9																									0
Runeword457	Power	1		tors	shld									gcg	gcg	gcg				swing3		10	10																									0
Runeword458	Power	1		tors	shld									gcg	gcg	gcg	gcg			swing4		12	13																									0
Runeword459	Power	1		tors	shld									gcg	gcg	gcg	gcg	gcg		swing5		15	16																									0
Runeword460	Power	1		tors	shld									gcg	gcg	gcg	gcg	gcg	gcg	swing6		17	18																									0
Runeword461	Power	1		tors	shld									gfg						swing7		7	7																									0
Runeword462	Power	1		tors	shld									gfg	gfg					swing8		10	10																									0
Runeword463	Power	1		tors	shld									gfg	gfg	gfg				swing9		15	15																									0
Runeword464	Power	1		tors	shld									gfg	gfg	gfg	gfg			swing10		19	19																									0
Runeword465	Power	1		tors	shld									gfg	gfg	gfg	gfg	gfg		swing11		23	23																									0
Runeword466	Power	1		tors	shld									gfg	gfg	gfg	gfg	gfg	gfg	swing12		27	27																									0
Runeword467	Power	1		tors	shld									gsg						swing13		7	7	ac%		10	10																					0
Runeword468	Power	1		tors	shld									gsg	gsg					swing14		10	10	ac%		20	20																					0
Runeword469	Power	1		tors	shld									gsg	gsg	gsg				swing15		15	15	ac%		30	30																					0
Runeword470	Power	1		tors	shld									gsg	gsg	gsg	gsg			swing16		19	19	ac%		40	40																					0
Runeword471	Power	1		tors	shld									gsg	gsg	gsg	gsg	gsg		swing17		23	23	ac%		50	50																					0
Runeword472	Power	1		tors	shld									gsg	gsg	gsg	gsg	gsg	gsg	swing18		27	27	ac%		60	60																					0
Runeword473	Power	1		tors	shld									glg						swing19		7	7	ac%		20	20																					0
Runeword474	Power	1		tors	shld									glg	glg					swing20		10	10	ac%		40	40																					0
Runeword475	Power	1		tors	shld									glg	glg	glg				swing21		15	15	ac%		50	50																					0
Runeword476	Power	1		tors	shld									glg	glg	glg	glg			swing22		19	19	ac%		67	67																					0
Runeword477	Power	1		tors	shld									glg	glg	glg	glg	glg		swing23		23	23	ac%		82	82																					0
Runeword478	Power	1		tors	shld									glg	glg	glg	glg	glg	glg	swing24		27	27	ac%		97	97																					0
Runeword479	Power	1		tors	shld									gpg						swing25		7	7	ac%		20	20	red-dmg%		6	6																	0
Runeword480	Power	1		tors	shld									gpg	gpg					swing26		10	10	ac%		40	40	red-dmg%		8	8																	0
Runeword481	Power	1		tors	shld									gpg	gpg	gpg				swing27		15	15	ac%		50	50	red-dmg%		10	10																	0
Runeword482	Power	1		tors	shld									gpg	gpg	gpg	gpg			swing28		19	19	ac%		67	67	ama		1	1	red-dmg%		12	12													0
Runeword483	Power	1		tors	shld									gpg	gpg	gpg	gpg	gpg		swing29		23	23	ac%		82	82	ama		2	2	red-dmg%		14	14													0
Runeword484	Power	1		tors	shld									gpg	gpg	gpg	gpg	gpg	gpg	swing30		27	27	ac%		97	97	ama		3	3	red-dmg%		16	16													0
Runeword485	Vitality	1		tors	shld									gcw						hp		10	10																									0
Runeword486	Vitality	1		tors	shld									gcw	gcw					hp		13	13																									0
Runeword487	Vitality	1		tors	shld									gcw	gcw	gcw				hp		15	15																									0
Runeword488	Vitality	1		tors	shld									gcw	gcw	gcw	gcw			hp		18	18																									0
Runeword489	Vitality	1		tors	shld									gcw	gcw	gcw	gcw	gcw		hp		20	20																									0
Runeword490	Vitality	1		tors	shld									gcw	gcw	gcw	gcw	gcw	gcw	hp		23	23																									0
Runeword491	Vitality	1		tors	shld									gfw						hp		15	15																									0
Runeword492	Vitality	1		tors	shld									gfw	gfw					hp		17	17																									0
Runeword493	Vitality	1		tors	shld									gfw	gfw	gfw				hp		20	20																									0
Runeword494	Vitality	1		tors	shld									gfw	gfw	gfw	gfw			hp		22	22																									0
Runeword495	Vitality	1		tors	shld									gfw	gfw	gfw	gfw	gfw		hp		25	25																									0
Runeword496	Vitality	1		tors	shld									gfw	gfw	gfw	gfw	gfw	gfw	hp		27	27																									0
Runeword497	Vitality	1		tors	shld									gsw						hp		15	15	regen		4	4																					0
Runeword498	Vitality	1		tors	shld									gsw	gsw					hp		17	17	regen		5	5																					0
Runeword499	Vitality	1		tors	shld									gsw	gsw	gsw				hp		20	20	regen		6	6																					0
Runeword500	Vitality	1		tors	shld									gsw	gsw	gsw	gsw			hp		22	22	regen		7	7																					0
Runeword501	Vitality	1		tors	shld									gsw	gsw	gsw	gsw	gsw		hp		25	25	regen		8	8																					0
Runeword502	Vitality	1		tors	shld									gsw	gsw	gsw	gsw	gsw	gsw	hp		27	27	regen		9	9																					0
Runeword503	Vitality	1		tors	shld									glw						hp		15	15	regen		5	5																					0
Runeword504	Vitality	1		tors	shld									glw	glw					hp		17	17	regen		7	7																					0
Runeword505	Vitality	1		tors	shld									glw	glw	glw				hp		20	20	regen		8	8																					0
Runeword506	Vitality	1		tors	shld									glw	glw	glw	glw			hp		22	22	regen		10	10																					0
Runeword507	Vitality	1		tors	shld									glw	glw	glw	glw	glw		hp		25	25	regen		11	11																					0
Runeword508	Vitality	1		tors	shld									glw	glw	glw	glw	glw	glw	hp		27	27	regen		13	13																					0
Runeword509	Vitality	1		tors	shld									gpw						hp		15	15	regen		5	5	move3		20	20																	0
Runeword510	Vitality	1		tors	shld									gpw	gpw					hp		17	17	regen		7	7	move3		30	30																	0
Runeword511	Vitality	1		tors	shld									gpw	gpw	gpw				hp		20	20	regen		8	8	move3		40	40																	0
Runeword512	Vitality	2		tors	shld									gpw	gpw	gpw	gpw			hp		22	22	regen		10	10	pal		1	1	move3		50	50													0
Runeword513	Vitality	3		tors	shld									gpw	gpw	gpw	gpw	gpw		hp		25	25	regen		11	11	pal		1	1	move3		60	60													0
Runeword514	Vitality	4		tors	shld									gpw	gpw	gpw	gpw	gpw	gpw	hp		27	27	regen		13	13	pal		1	1	move3		70	70													0
Runeword515	Aegirs Wrath	1	1	shld										r08	r02	r20				res-cold		40	40	dmg-norm		15	15	move1		20	20	gold%		100	100													0
Runeword516	Balders Wit	1	1	axe	club	pole	hamm							r19	r23	r05	r12			noheal		1	1	slow		15	15	stupidity		30	30	thorns		15	15													0
Runeword517	Odins Battle Helm	1	1	helm										r32	r25	r30				dmg-cold	5	50	50	abs-cold%		15	15	allskills		1	1	vit		30	30													0
Runeword518	Freyjas Beauty	1	1	axe	club	hamm								r01	r03	r13	r15	r16		dex		15	15	hp%		15	15	openwounds		30	30	swing2		20	20	balance2		20	20									0
Runeword519	Heimdalls Destruction	1	1	helm										r06	r07	r08				gold%		90	90	regen		10	10	nofreeze		1	1	dmg-fire		50	50													0
Runeword520	Skadis Coldness	1	1	club	hamm	mace	staf							r25	r20	r19				sor		1	1	freeze		50	50	dmg-to-mana		25	25	dmg-cold	5	30	30	res-cold		100	100									0
Runeword521	Njords Storm	1	1	spea	axe	swor								r10	r17	r13	r18			swing2		20	20	move2		30	30	deadly		40	40	dmg-ltng		30	30	reduce-ac		15	15									0
Runeword522	Tyrs Fenris	1	1	spea	wand									r25	r29					nec		1	1	rep-dur		5	5	manasteal		10	10	red-dmg%		15	15	abs-mag%		15	15									0
Runeword523	Baldrs Siege	1	1	weap										r09	r03	r21				ac%		47	47	res-fire		3	3	res-ltng		33	33	move1		10	10													0
Runeword524	Friggas Wind	1	1	miss	mele									r04	r09	r17				ama		1	1	crush		40	40	deadly		50	50	pierce		50	50													0
Runeword525	Hels Fire	1	1	weap										r31	r32	r33	r28	r29	r30	dmg-fire		100	100	res-fire		100	100	res-fire-max		20	20	bar		1	1													0
Runeword526	Lokis Blood	1	1	helm										r03	r27	r23				lifesteal		10	10	dmg-pois	10	50	100	res-pois		50	50	balance3		30	30													0
Runeword527	Forsetis Judgement	1	1	shld										r10	r09	r16	r22			balance3		30	30	cast3		30	30	block3		30	30	swing3		30	30													0
Runeword528	Hods Blindness	1	1	tors										r03	r09	r13	r06			stupidity		100	100	slow		15	15	openwounds		30	30	hp		30	30													0
Runeword529	Nannas Moon	1	1	weap										r30	r20					reduce-ac		50	50	dmg%		100	100	mag%		50	50	gold%		100	100													0
Runeword530	Hildrs Battle	1	1	weap										r01	r02	r03	r04			ac%		10	10	att		50	50	freeze		10	10																	0
Runeword531	Bils Weaving	1	1	axe	swor	pole								r03	r19	r27				red-dmg%		30	30	dmg-ltng		1	150	half-freeze		1	1	enr		25	25													0
Runeword532	Bolthorns Frost	1	1	mele										r04	r14	r24	r31	r13		dmg%		120	120	dmg-cold	10	40	50	abs-cold%		25	25	res-cold		100	100													0
Runeword533	Dellings Brightness	1	1	helm										r11	r03	r31				fireskill		1	1	dmg-ltng		20	60	abs-ltng%		20	20	res-ltng		40	40	gold%		300	300									0
Runeword534	Eirs Health	1	1	helm										r14	r20	r04				regen		25	25	lifesteal		15	15	indestruct		1	1																	0
Runeword535	Hermods Swiftness	1	1	shld										r18	r14	r05				slow		70	70	freeze		70	70	move3		30	30	block3		30	30													0
Runeword536	Ultima Valhalla	1	1	weap										r31	r32	r33				allskills		2	2	dmg%		180	180	ignore-ac		1	1	red-dmg%		50	50	dmg-fire		50	100	res-all		50	50					0
Runeword202	Damage	1		helm	glov	boot								gcv	gcv	gcv	gcv			dmg-max		10	10																									0
Runeword205	Damage	1		helm	glov	boot								gfv	gfv	gfv	gfv			dmg-max		14	14																									0
Runeword208	Damage	1		helm	glov	boot								gsv	gsv	gsv	gsv			dmg-max		15	15	dmg-min		15	15																					0
Runeword211	Damage	1		helm	glov	boot								gzv	gzv	gzv	gzv			dmg-max		16	16	dmg-min		18	18																					0
Runeword214	Damage	1		helm	glov	boot								gpv	gpv	gpv	gpv			dmg-max		17	17	dmg-min		18	18	bar		2	3	dmg-mag		100	150													0
Runeword217	Energy	1		helm	glov	boot								gcy	gcy	gcy	gcy			mana		25	25																									0
Runeword220	Energy	1		helm	glov	boot								gfy	gfy	gfy	gfy			mana		30	30																									0
Runeword223	Energy	1		helm	glov	boot								gsy	gsy	gsy	gsy			mana		30	30	regen-mana		45	45																					0
Runeword226	Energy	1		helm	glov	boot								gly	gly	gly	gly			mana		30	30	regen-mana		70	70																					0
Runeword229	Energy	1		helm	glov	boot								gpy	gpy	gpy	gpy			mana		30	30	regen-mana		70	70	sor		2	3	mana%		15	15													0
Runeword232	Life	1		helm	glov	boot								gcr	gcr	gcr	gcr			lifesteal		4	4																									0
Runeword235	Life	1		helm	glov	boot								gfr	gfr	gfr	gfr			lifesteal		6	6																									0
Runeword238	Life	1		helm	glov	boot								gsr	gsr	gsr	gsr			lifesteal		6	6	vit		15	15																					0
Runeword241	Life	1		helm	glov	boot								glr	glr	glr	glr			lifesteal		6	6	vit		20	20																					0
Runeword244	Life	1		helm	glov	boot								gpr	gpr	gpr	gpr			lifesteal		6	6	vit		20	20	dru		2	3	hp%		15	15													0
Runeword247	Magic	1		helm	glov	boot								skc	skc	skc	skc			mag%		25	25																									0
Runeword250	Magic	1		helm	glov	boot								skf	skf	skf	skf			mag%		30	30																									0
Runeword253	Magic	1		helm	glov	boot								sku	sku	sku	sku			mag%		30	30	mana-kill		10	10																					0
Runeword256	Magic	1		helm	glov	boot								skl	skl	skl	skl			mag%		30	30	mana-kill		12	12																					0
Runeword259	Magic	1		helm	glov	boot								skz	skz	skz	skz			mag%		30	30	mana-kill		12	12	nec		2	3	cast3		45	45													0
Runeword262	Mana	1		helm	glov	boot								gcb	gcb	gcb	gcb			manasteal		5	5																									0
Runeword265	Mana	1		helm	glov	boot								gfb	gfb	gfb	gfb			manasteal		7	7																									0
Runeword268	Mana	1		helm	glov	boot								gsb	gsb	gsb	gsb			manasteal		7	7	enr		15	15																					0
Runeword271	Mana	1		helm	glov	boot								glb	glb	gsb	gsb			manasteal		7	7	enr		20	20																					0
Runeword274	Mana	1		helm	glov	boot								gpb	gpb	gpb	gpb			manasteal		7	7	enr		20	20	ass		2	3	abs-cold%		15	15													0
Runeword277	Power	1		helm	glov	boot								gcg	gcg	gcg	gcg			swing1		15	15																									0
Runeword280	Power	1		helm	glov	boot								gfg	gfg	gfg	gfg			swing1		20	20																									0
Runeword283	Power	1		helm	glov	boot								gsg	gsg	gsg	gsg			swing1		20	20	ac%		35	35																					0
Runeword286	Power	1		helm	glov	boot								glg	glg	glg	glg			swing1		20	20	ac%		60	60																					0
Runeword289	Power	1		helm	glov	boot								gpg	gpg	gpg	gpg			swing1		20	20	ac%		60	60	ama		2	3	red-dmg%		20	20													0
Runeword292	Vitality	1		helm	glov	boot								gcw	gcw	gcw	gcw			hp		25	25																									0
Runeword295	Vitality	1		helm	glov	boot								gfw	gfw	gfw	gfw			hp		30	30																									0
Runeword298	Vitality	1		helm	glov	boot								gsw	gsw	gsw	gsw			hp		30	30	regen		15	15																					0
Runeword301	Vitality	1		helm	glov	boot								glw	glw	glw	glw			hp		30	30	regen		25	25																					0
Runeword304	Vitality	1		helm	glov	boot								gpw	gpw	gpw	gpw			hp		30	30	regen		25	25	pal		2	3	move3		45	45													0
