name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Death Mask	0	0	3	1	95	151	0	0	88	0	20	0	77	40	27190	15074	xsk	xsk			msk	msk	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Ghost Armor	0	0	1	1	179	205	0	0	61	0	20	0	54	35	30552	10353	xui	xui			qlt	qlt	qui	xui	uui	0	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Serpentskin Armor	0	0	1	1	195	221	0	0	69	0	24	0	58	38	34960	12369	xea	xea			lea	lea	lea	xea	uea	0	1	2	3	1	6	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Armor	0	0	1	1	214	239	0	0	80	0	28	0	59	40	39090	14798	xla	xla			hla	hla	hla	xla	ula	0	1	2	3	1	6	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Trellised Armor	0	0	1	1	242	269	0	0	98	0	32	0	64	40	47582	19107	xtu	xtu			stu	stu	stu	xtu	utu	0	1	2	3	1	6	1	flpstu	invstu	invxtuu	invxtuu	1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Linked Mail	0	0	1	1	277	302	0	5	118	0	26	0	67	40	56600	24610	xng	xng			rng	rng	rng	xng	ung	0	1	2	3	1	6	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Tigulated Mail	0	0	1	1	309	333	0	10	138	0	36	0	69	40	64242	29575	xcl	xcl			scl	scl	scl	xcl	ucl	0	1	2	3	1	6	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mesh Armor	0	0	1	1	347	374	0	5	147	0	45	0	72	40	75440	35881	xhn	xhn			chn	chn	chn	xhn	uhn	0	1	2	3	1	6	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Cuirass	0	0	2	1	330	355	1	0	104	0	50	0	75	40	74719	38341	xrs	xrs			brs	brs	brs	xrs	urs	0	1	2	3	1	6	1	flpbrs	invbrs		invxrss	0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Russet Armor	0	0	1	1	395	426	0	5	155	0	30	0	78	40	93404	49265	xpl	xpl			spl	spl	spl	xpl	upl	0	1	2	3	1	6	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Templar Coat	0	0	1	1	442	481	0	10	189	0	60	0	83	40	111395	63621	xlt	xlt			plt	plt	plt	xlt	ult	0	1	2	3	1	6	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharktooth Armor	0	0	3	1	425	452	2	5	165	0	48	0	88	40	111674	68948	xld	xld			fld	fld	fld	xld	uld	0	1	2	3	1	6	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Embossed Plate	0	0	3	1	495	532	0	5	200	0	55	0	93	40	137817	91094	xth	xth			gth	gth	gth	xth	uth	0	1	2	3	1	6	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Chaos Armor	0	0	1	1	552	601	2	10	224	0	70	0	98	40	162672	118026	xul	xul			ful	ful	ful	xul	uul	0	1	2	3	1	6	1	flpful	invful			2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Ornate Armor	0	0	4	1	732	790	5	5	272	0	60	0	102	40	225120	168531	xar	xar			aar	aar	aar	xar	uar	0	1	2	3	1	6	1	flpaar	invaar	invxaru	invxaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mage Plate	0	0	2	1	395	458	1	0	88	0	60	0	96	40	118407	82969	xtp	xtp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	6	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Defender	0	0	1	1	72	86	0	0	61	10	68	0	54	35	12562	4821	xuc	xuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	8	12			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Round Shield	0	0	1	1	82	96	0	0	85	12	64	0	59	40	15451	6484	xml	xml			buc	buc	sml	xml	uml	0	7	2	2	1	4	2	flpsml	invsml	invxmlu	invxmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	7	14			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Scutum	0	0	1	1	94	107	0	5	114	14	62	0	67	40	19537	9273	xrg	xrg			lrg	lrg	lrg	xrg	urg	0	7	2	3	1	6	2	flplrg	invlrg	invxrgu	invxrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	11	15			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Dragon Shield	0	0	2	1	104	117	0	0	146	18	76	0	72	40	23094	11872	xit	xit			kit	kit	kit	xit	uit	0	7	2	3	1	6	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	15	24			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Pavise	0	0	2	1	120	136	1	10	213	24	72	0	80	40	29550	17407	xow	xow			tow	tow	tow	xow	uow	0	7	2	3	1	6	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	10	17			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Ancient Shield	0	0	3	1	140	164	0	5	176	16	80	0	90	40	39220	26397	xts	xts			kit	kit	gts	xts	uts	0	7	2	4	1	8	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	12	16			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Gloves	0	0	1	1	49	61	0	0	32	0	12	0	53	34	8480	4007	xlg	xlg			lgl	lgl	lgl	xlg	ulg	0	16	2	2	1	4	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Gloves	0	0	1	1	58	69	0	0	32	0	14	0	62	40	11420	5317	xvg	xvg			vgl	vgl	vgl	xvg	uvg	0	16	2	2	1	4	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Heavy Bracers	0	0	2	1	65	77	0	0	93	0	16	0	69	40	14111	7176	xmg	xmg			mgl	mgl	mgl	xmg	umg	0	16	2	2	1	4	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Battle Gauntlets	0	0	2	1	69	82	0	0	141	0	18	0	78	40	16913	10064	xtg	xtg			mgl	mgl	tgl	xtg	utg	0	16	2	2	1	4	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
War Gauntlets	0	0	3	1	75	94	0	0	176	0	24	0	86	40	20900	13984	xhg	xhg			hgl	hgl	hgl	xhg	uhg	0	16	2	2	1	4	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Boots	0	0	1	1	49	61	0	0	32	0	12	0	58	38	9230	4007	xlb	xlb			lbt	lbt	lbt	xlb	ulb	0	16	2	2	1	4	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	26	46	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Boots	0	0	1	1	58	69	0	0	75	0	14	0	62	40	11393	5304	xvb	xvb			vbt	vbt	vbt	xvb	uvb	0	16	2	2	1	4	1	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	28	50	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mesh Boots	0	0	2	1	65	77	0	0	104	0	16	0	69	40	14103	7172	xmb	xmb			mbt	mbt	mbt	xmb	umb	0	16	2	2	1	4	1	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	23	52	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Battle Boots	0	0	2	1	69	82	0	0	152	0	18	0	78	40	16905	10060	xtb	xtb			mbt	mbt	tbt	xtb	utb	0	16	2	2	1	4	1	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	37	64	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
War Boots	0	0	3	1	75	94	0	0	200	0	24	0	86	40	20885	13974	xhb	xhb			hbt	hbt	hbt	xhb	uhb	0	16	2	2	1	4	1	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	39	80	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Sash	0	0	1	1	51	60	0	0	32	0	12	0	58	38	9304	4031	zlb	zlb			lbl	lbl	lbl	zlb	ulc	0	16	2	1	1	2	1	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Belt	0	0	1	1	55	64	0	0	32	0	14	0	62	40	10700	5051	zvb	zvb			vbl	vbl	vbl	zvb	uvc	0	16	2	1	1	2	1	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mesh Belt	0	0	2	1	61	70	0	0	93	0	16	0	69	40	13143	6767	zmb	zmb			mbl	mbl	mbl	zmb	umc	0	16	2	1	1	2	1	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Battle Belt	0	0	2	1	65	74	0	0	141	0	18	0	78	40	15713	9449	ztb	ztb			mbl	mbl	tbl	ztb	utc	0	16	2	1	1	2	1	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
War Belt	0	0	3	1	72	91	0	0	176	0	24	0	86	40	20350	13657	zhb	zhb			hbl	hbl	hbl	zhb	uhc	0	16	2	1	1	2	1	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Grim Helm	0	0	4	1	105	220	0	0	93	0	40	0	80	40	37683	21810	xh9	xh9			bhm	bhm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Grim Shield	0	0	4	1	88	263	0	0	93	20	70	0	77	40	39143	21096	xsh	xsh			bsh	bsh	bsh	xsh	ush	0	7	2	3	1	6	2	flpbsh	invbsh	invxshu	invxshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	14	20			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Barbed Shield	0	0	4	1	101	136	0	0	104	17	55	0	67	40	23155	10771	xpk	xpk			spk	spk	spk	xpk	upk	0	7	2	3	1	6	2	flpspk	invspk	invxpku	invxpku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	18	35			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Expansion									0				0	0		0																																																																																																																																																			
Wolf Head	100	0	2	1	14	20	0	0	26	0	20	0	6	5	364	305	dr1	dr1			dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Hawk Helm	100	0	3	1	6	26	0	0	32	0	20	0	13	10	664	490	dr2	dr2			dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Antlers	100	0	3	1	31	42	0	0	38	0	20	0	26	19	2832	1366	dr3	dr3			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Falcon Mask	100	0	4	1	21	49	0	0	45	0	20	0	32	24	3332	1825	dr4	dr4			dr4	dr4	dr4	dr9	dre	0	0	2	2	1	4	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Spirit Mask	100	0	5	1	39	61	0	0	48	0	20	0	38	29	5670	3035	dr5	dr5			dr1	dr1	dr5	dra	drf	0	0	2	2	1	4	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Jawbone Cap	100	0	2	1	18	26	0	0	40	0	25	0	6	5	320	297	ba1	ba1			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Fanged Helm	100	0	3	1	26	35	0	0	56	0	35	0	13	10	750	516	ba2	ba2			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Horned Helm	100	0	3	1	44	52	0	0	72	0	45	0	26	19	2750	1297	ba3	ba3			ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Assault Helmet	100	0	4	1	52	61	0	0	88	0	50	0	32	24	3420	1835	ba4	ba4			ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Avenger Guard	100	0	5	1	61	88	0	0	104	0	55	0	38	29	5785	3080	ba5	ba5			ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Targe	100	0	2	1	14	21	0	0	26	10	20	0	6	5	384	395	pa1	pa1		304	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	2	6			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Rondache	100	0	3	1	18	31	0	0	42	15	30	0	13	10	982	658	pa2	pa2		304	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	2	8			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Heraldic Shield	100	0	3	1	29	46	0	0	64	20	40	0	26	19	2816	1328	pa3	pa3		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	8	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	3	9			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Aerin Shield	100	0	4	1	46	64	0	0	80	22	50	0	32	24	5158	2723	pa4	pa4		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	8	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	4	10			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Crown Shield	100	0	5	1	52	70	0	0	104	25	60	0	38	29	6935	5130	pa5	pa5		304	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	4	12			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Preserved Head	100	0	2	1	4	9	0	0	19	3	20	0	6	5	128	290	ne1	ne1		305	ne1	dr1	ne1	ne6	neb	0	10	2	2	1	4	2	flpne1	invne1									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Zombie Head	100	0	3	1	6	14	0	0	22	5	20	0	13	10	418	459	ne2	ne2		305	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	4	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Unraveller Head	100	0	3	1	10	18	0	0	29	8	20	0	26	19	1070	924	ne3	ne3		305	ne3	bhm	ne3	ne8	ned	0	10	2	2	1	4	2	flpne3	invne3									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Gargoyle Head	100	0	4	1	18	29	0	0	32	10	20	0	32	24	2164	1458	ne4	ne4		305	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	4	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Demon Head	100	0	5	1	26	35	0	0	40	12	20	0	38	29	3475	2210	ne5	ne5		305	ne2	bhm	ne5	nea	nef	0	10	2	2	1	4	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Circlet	100	0	2	1	35	52	0	0	0	0	35	0	38	26	12000	5352	ci0	ci0	3		lit	lit	ci0	ci2	ci3	0	0	2	2	1	4	1	flpci0	invci0									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Coronet	100	0	3	1	52	70	0	0	0	0	30	0	83	62	23000	10704	ci1	ci1	8		lit	lit	ci1	ci2	ci3	0	0	2	2	1	4	1	flpci1	invci1									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	1	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
