Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
195	273	522	773	273	613	909	694	1260	2648	694	1260	2648	477	1515	2912	477	1515	3882	40	53	74	40	53	74	3877	16010	24015	3877	16010	24015
196	274	524	776	274	616	914	698	1266	2661	698	1266	2661	481	1526	2941	481	1526	3920	40	54	75	40	54	75	3912	16312	24468	3912	16312	24468
197	276	526	780	276	619	918	701	1272	2673	701	1272	2673	485	1538	2969	485	1538	3959	41	54	75	41	54	75	3946	16614	24921	3946	16614	24921
198	277	529	783	277	622	922	705	1278	2686	705	1278	2686	489	1549	2998	489	1549	3997	41	55	76	41	55	76	3981	16916	25374	3981	16916	25374
199	279	531	787	279	624	926	709	1284	2699	709	1284	2699	493	1560	3027	493	1560	4035	41	55	76	41	55	76	4016	17218	25827	4016	17218	25827
200	280	533	790	280	627	930	712	1290	2711	712	1290	2711	497	1572	3055	497	1572	4074	41	55	76	41	55	76	4050	17520	26280	4050	17520	26280
201	281	536	794	281	630	934	716	1296	2724	716	1296	2724	501	1583	3084	501	1583	4112	41	55	76	41	55	76	4085	17822	26733	4085	17822	26733
202	283	538	797	283	633	938	720	1302	2737	720	1302	2737	505	1594	3113	505	1594	4150	41	55	77	41	55	77	4120	18124	27186	4120	18124	27186
203	284	540	801	284	636	942	723	1308	2749	723	1308	2749	509	1606	3141	509	1606	4189	42	56	77	42	56	77	4154	18426	27639	4154	18426	27639
204	286	543	804	286	638	946	727	1314	2762	727	1314	2762	513	1617	3170	513	1617	4227	42	56	78	42	56	78	4189	18728	28092	4189	18728	28092
205	287	545	808	287	641	951	731	1320	2775	731	1320	2775	517	1628	3199	517	1628	4265	42	56	79	42	56	79	4224	19030	28545	4224	19030	28545
206	288	547	812	288	644	955	734	1326	2787	734	1326	2787	521	1640	3228	521	1640	4304	43	57	79	43	57	79	4258	19332	28998	4258	19332	28998
207	290	550	816	290	647	959	738	1332	2800	738	1332	2800	525	1651	3257	525	1651	4342	43	57	80	43	57	80	4293	19634	29451	4293	19634	29451
208	291	552	819	291	650	963	742	1338	2813	742	1338	2813	530	1662	3286	530	1662	4380	43	57	80	43	57	80	4328	19936	29904	4328	19936	29904
209	293	554	822	293	652	967	745	1344	2825	745	1344	2825	534	1674	3314	534	1674	4419	43	57	80	43	57	80	4362	20238	30357	4362	20238	30357
210	294	557	825	294	655	971	749	1350	2838	749	1350	2838	539	1685	3343	539	1685	4457	43	57	80	43	57	80	4397	20540	30810	4397	20540	30810
211	295	559	829	295	658	975	753	1356	2851	753	1356	2851	543	1697	3372	543	1697	4495	43	58	80	43	58	80	4432	20842	31263	4432	20842	31263
212	297	562	832	297	661	979	756	1362	2863	756	1362	2863	548	1708	3400	548	1708	4534	44	58	81	44	58	81	4466	21144	31716	4466	21144	31716
213	298	564	836	298	664	984	760	1368	2876	760	1368	2876	552	1720	3429	552	1720	4572	44	59	81	44	59	81	4501	21446	32169	4501	21446	32169
214	300	566	839	300	666	988	764	1374	2889	764	1374	2889	556	1731	3458	556	1731	4610	44	59	81	44	59	81	4536	21748	32622	4536	21748	32622
215	301	569	843	301	669	991	767	1380	2901	767	1380	2901	561	1742	3486	561	1742	4649	44	59	81	44	59	81	4570	22050	33075	4570	22050	33075
216	302	571	846	302	672	995	771	1386	2914	771	1386	2914	565	1753	3515	565	1753	4687	44	59	81	44	59	81	4605	22352	33528	4605	22352	33528
217	304	573	850	304	675	1000	775	1392	2927	775	1392	2927	570	1765	3544	570	1765	4725	44	59	82	44	59	82	4640	22654	33981	4640	22654	33981
218	305	576	853	305	678	1004	778	1398	2939	778	1398	2939	574	1776	3573	574	1776	4764	45	60	82	45	60	82	4674	22956	34434	4674	22956	34434
219	307	578	857	307	680	1008	782	1404	2952	782	1404	2952	579	1788	3602	579	1788	4802	45	60	83	45	60	83	4709	23258	34887	4709	23258	34887
220	308	580	860	308	683	1012	786	1410	2965	786	1410	2965	583	1799	3631	583	1799	4840	45	60	84	45	60	84	4744	23560	35340	4744	23560	35340
221	309	583	864	309	686	1016	789	1416	2977	789	1416	2977	588	1810	3659	588	1810	4879	46	61	84	46	61	84	4778	23862	35793	4778	23862	35793
222	311	585	867	311	689	1021	793	1422	2990	793	1422	2990	592	1821	3688	592	1821	4917	46	61	85	46	61	85	4813	24164	36246	4813	24164	36246
223	312	588	871	312	692	1025	797	1428	3003	797	1428	3003	596	1833	3717	596	1833	4955	46	61	85	46	61	85	4848	24466	36699	4848	24466	36699
224	314	590	874	314	694	1028	800	1434	3015	800	1434	3015	601	1844	3745	601	1844	4994	46	61	85	46	61	85	4882	24768	37152	4882	24768	37152
225	315	593	878	315	697	1033	804	1440	3028	804	1440	3028	605	1856	3774	605	1856	5032	46	61	85	46	61	85	4917	25070	37605	4917	25070	37605
226	316	595	881	316	700	1037	808	1446	3041	808	1446	3041	609	1868	3803	609	1868	5070	46	62	86	46	62	86	4952	25372	38058	4952	25372	38058
227	318	598	885	318	703	1041	811	1452	3053	811	1452	3053	614	1879	3831	614	1879	5109	47	62	86	47	62	86	4986	25674	38511	4986	25674	38511
228	319	600	888	319	706	1045	815	1458	3066	815	1458	3066	618	1891	3860	618	1891	5147	47	63	87	47	63	87	5021	25976	38964	5021	25976	38964
229	321	602	892	321	708	1049	819	1464	3079	819	1464	3079	623	1902	3889	623	1902	5185	47	63	87	47	63	87	5056	26278	39417	5056	26278	39417
230	322	605	895	322	711	1053	822	1470	3091	822	1470	3091	627	1913	3918	627	1913	5224	47	63	87	47	63	87	5090	26580	39870	5090	26580	39870
231	323	607	899	323	714	1057	826	1476	3104	826	1476	3104	632	1924	3947	632	1924	5262	47	63	87	47	63	87	5125	26882	40323	5125	26882	40323
232	325	609	902	325	717	1061	830	1482	3117	830	1482	3117	636	1936	3976	636	1936	5300	47	63	88	47	63	88	5160	27184	40776	5160	27184	40776
233	326	612	906	326	720	1065	833	1488	3129	833	1488	3129	641	1947	4004	641	1947	5339	48	64	88	48	64	88	5194	27486	41229	5194	27486	41229
234	328	614	909	328	722	1070	837	1494	3142	837	1494	3142	645	1959	4033	645	1959	5377	48	64	89	48	64	89	5229	27788	41682	5229	27788	41682
235	329	616	913	329	725	1074	841	1500	3155	841	1500	3155	649	1970	4062	649	1970	5415	48	64	90	48	64	90	5264	28090	42135	5264	28090	42135
236	330	619	916	330	728	1078	844	1506	3167	844	1506	3167	654	1981	4090	654	1981	5454	49	65	90	49	65	90	5298	28392	42588	5298	28392	42588
237	332	621	920	332	731	1082	848	1512	3180	848	1512	3180	658	1992	4119	658	1992	5492	49	65	91	49	65	91	5333	28694	43041	5333	28694	43041
238	333	624	923	333	734	1086	852	1518	3193	852	1518	3193	663	2004	4148	663	2004	5530	49	65	91	49	65	91	5368	28996	43494	5368	28996	43494
239	335	626	927	335	736	1090	855	1524	3205	855	1524	3205	668	2015	4176	668	2015	5569	49	65	91	49	65	91	5402	29298	43947	5402	29298	43947
240	336	629	930	336	739	1094	859	1530	3218	859	1530	3218	673	2027	4205	673	2027	5607	49	65	91	49	65	91	5437	29600	44400	5437	29600	44400
241	337	631	934	337	742	1098	863	1536	3231	863	1536	3231	678	2038	4234	678	2038	5645	49	66	92	49	66	92	5472	29902	44853	5472	29902	44853
242	339	634	937	339	745	1103	866	1542	3243	866	1542	3243	683	2050	4263	683	2050	5684	50	66	92	50	66	92	5506	30204	45306	5506	30204	45306
243	340	636	941	340	748	1107	870	1548	3256	870	1548	3256	688	2061	4292	688	2061	5722	50	67	93	50	67	93	5541	30506	45759	5541	30506	45759
244	342	638	944	342	750	1111	874	1554	3269	874	1554	3269	693	2072	4321	693	2072	5760	50	67	93	50	67	93	5576	30808	46212	5576	30808	46212
245	343	641	947	343	753	1114	877	1560	3281	877	1560	3281	697	2084	4349	697	2084	5799	50	67	93	50	67	93	5610	31110	46665	5610	31110	46665
246	344	643	951	344	756	1119	881	1566	3294	881	1566	3294	702	2095	4378	702	2095	5837	50	67	93	50	67	93	5645	31412	47118	5645	31412	47118
247	346	645	954	346	759	1123	885	1572	3307	885	1572	3307	707	2106	4407	707	2106	5875	50	67	93	50	67	93	5680	31714	47571	5680	31714	47571
248	347	648	958	347	762	1127	888	1578	3319	888	1578	3319	712	2118	4435	712	2118	5914	51	68	94	51	68	94	5714	32016	48024	5714	32016	48024
249	349	650	962	349	764	1131	892	1584	3332	892	1584	3332	717	2129	4464	717	2129	5952	51	68	94	51	68	94	5749	32318	48477	5749	32318	48477
250	350	652	965	350	767	1135	896	1590	3345	896	1590	3345	722	2140	4493	722	2140	5990	51	68	94	51	68	94	5784	32620	48930	5784	32620	48930
251	351	655	969	351	770	1140	899	1596	3357	899	1596	3357	727	2152	4521	727	2152	6029	51	68	94	51	68	94	5818	32922	49383	5818	32922	49383
252	353	657	972	353	773	1144	903	1602	3370	903	1602	3370	732	2163	4550	732	2163	6067	51	68	94	51	68	94	5853	33224	49836	5853	33224	49836
253	354	659	976	354	776	1148	907	1608	3383	907	1608	3383	737	2174	4579	737	2174	6105	51	68	95	51	68	95	5888	33526	50289	5888	33526	50289
254	356	662	979	356	778	1152	910	1614	3395	910	1614	3395	741	2186	4608	741	2186	6144	52	69	95	52	69	95	5922	33828	50742	5922	33828	50742
255	357	664	982	357	781	1156	914	1620	3408	914	1620	3408	746	2197	4637	746	2197	6182	52	69	96	52	69	96	5957	34130	51195	5957	34130	51195
256	358	666	986	358	784	1160	918	1626	3421	918	1626	3421	751	2209	4666	751	2209	6220	52	69	97	52	69	97	5992	34432	51648	5992	34432	51648
257	360	669	990	360	787	1164	921	1632	3433	921	1632	3433	756	2220	4694	756	2220	6259	53	70	97	53	70	97	6026	34734	52101	6026	34734	52101
258	361	671	993	361	790	1168	925	1638	3446	925	1638	3446	761	2232	4723	761	2232	6297	53	70	98	53	70	98	6061	35036	52554	6061	35036	52554
259	363	673	997	363	792	1173	929	1644	3459	929	1644	3459	766	2243	4752	766	2243	6335	53	70	98	53	70	98	6096	35338	53007	6096	35338	53007
260	364	676	1000	364	795	1176	932	1650	3471	932	1650	3471	770	2254	4780	770	2254	6374	53	70	98	53	70	98	6130	35640	53460	6130	35640	53460
261	365	678	1003	365	798	1180	936	1656	3484	936	1656	3484	775	2265	4809	775	2265	6412	53	70	98	53	70	98	6165	35942	53913	6165	35942	53913
262	367	680	1007	367	801	1184	940	1662	3497	940	1662	3497	780	2277	4838	780	2277	6450	53	71	99	53	71	99	6200	36244	54366	6200	36244	54366
263	368	683	1010	368	804	1189	943	1668	3509	943	1668	3509	785	2288	4866	785	2288	6489	54	71	99	54	71	99	6234	36546	54819	6234	36546	54819
264	370	685	1014	370	806	1193	947	1674	3522	947	1674	3522	790	2300	4895	790	2300	6527	54	72	100	54	72	100	6269	36848	55272	6269	36848	55272
265	371	687	1017	371	809	1197	951	1680	3535	951	1680	3535	795	2311	4924	795	2311	6565	54	72	101	54	72	101	6304	37150	55725	6304	37150	55725
266	372	690	1021	372	812	1201	954	1686	3547	954	1686	3547	800	2322	4953	800	2322	6604	55	73	101	55	73	101	6338	37452	56178	6338	37452	56178
267	374	692	1025	374	815	1205	958	1692	3560	958	1692	3560	805	2333	4982	805	2333	6642	55	73	102	55	73	102	6373	37754	56631	6373	37754	56631
268	375	695	1028	375	818	1210	962	1698	3573	962	1698	3573	810	2345	5011	810	2345	6680	55	73	102	55	73	102	6408	38056	57084	6408	38056	57084
269	377	697	1031	377	820	1213	965	1704	3585	965	1704	3585	816	2356	5039	816	2356	6719	55	73	102	55	73	102	6442	38358	57537	6442	38358	57537
270	378	700	1035	378	823	1217	969	1710	3598	969	1710	3598	821	2368	5068	821	2368	6757	55	73	102	55	73	102	6477	38660	57990	6477	38660	57990
271	379	702	1038	379	826	1222	973	1716	3611	973	1716	3611	826	2380	5097	826	2380	6795	55	73	103	55	73	103	6512	38962	58443	6512	38962	58443
272	381	705	1042	381	829	1226	976	1722	3623	976	1722	3623	832	2391	5125	832	2391	6834	56	74	103	56	74	103	6546	39264	58896	6546	39264	58896
273	382	707	1045	382	832	1230	980	1728	3636	980	1728	3636	837	2403	5154	837	2403	6872	56	74	104	56	74	104	6581	39566	59349	6581	39566	59349
274	384	709	1049	384	834	1234	984	1734	3649	984	1734	3649	842	2414	5183	842	2414	6910	56	74	104	56	74	104	6616	39868	59802	6616	39868	59802
275	385	712	1052	385	837	1238	987	1740	3661	987	1740	3661	848	2425	5211	848	2425	6949	56	74	104	56	74	104	6650	40170	60255	6650	40170	60255
276	386	714	1056	386	840	1242	991	1746	3674	991	1746	3674	853	2436	5240	853	2436	6987	56	74	104	56	74	104	6685	40472	60708	6685	40472	60708
277	388	716	1059	388	843	1246	995	1752	3687	995	1752	3687	858	2448	5269	858	2448	7025	56	75	104	56	75	104	6720	40774	61161	6720	40774	61161
278	389	719	1063	389	846	1250	998	1758	3699	998	1758	3699	863	2459	5298	863	2459	7064	57	75	105	57	75	105	6754	41076	61614	6754	41076	61614
279	391	721	1066	391	848	1254	1002	1764	3712	1002	1764	3712	868	2471	5327	868	2471	7102	57	76	105	57	76	105	6789	41378	62067	6789	41378	62067
280	392	723	1070	392	851	1259	1006	1770	3725	1006	1770	3725	873	2482	5356	873	2482	7140	57	76	106	57	76	106	6824	41680	62520	6824	41680	62520
281	393	726	1074	393	854	1263	1009	1776	3737	1009	1776	3737	879	2493	5384	879	2493	7179	58	77	106	58	77	106	6858	41982	62973	6858	41982	62973
282	395	728	1077	395	857	1267	1013	1782	3750	1013	1782	3750	884	2504	5413	884	2504	7217	58	77	107	58	77	107	6893	42284	63426	6893	42284	63426
283	396	731	1081	396	860	1271	1017	1788	3763	1017	1788	3763	889	2516	5442	889	2516	7255	58	77	107	58	77	107	6928	42586	63879	6928	42586	63879
284	398	733	1084	398	862	1275	1020	1794	3775	1020	1794	3775	895	2527	5470	895	2527	7294	58	77	107	58	77	107	6962	42888	64332	6962	42888	64332
285	399	736	1087	399	865	1279	1024	1800	3788	1024	1800	3788	900	2539	5499	900	2539	7332	58	77	107	58	77	107	6997	43190	64785	6997	43190	64785
286	400	738	1091	400	868	1283	1028	1806	3801	1028	1806	3801	905	2550	5528	905	2550	7370	58	77	108	58	77	108	7032	43492	65238	7032	43492	65238
287	402	741	1094	402	871	1287	1031	1812	3813	1031	1812	3813	911	2562	5556	911	2562	7409	59	78	108	59	78	108	7066	43794	65691	7066	43794	65691
288	403	743	1098	403	874	1292	1035	1818	3826	1035	1818	3826	916	2573	5585	916	2573	7447	59	78	109	59	78	109	7101	44096	66144	7101	44096	66144
289	405	745	1101	405	876	1296	1039	1824	3839	1039	1824	3839	921	2584	5614	921	2584	7485	59	78	109	59	78	109	7136	44398	66597	7136	44398	66597
290	406	748	1105	406	879	1299	1042	1830	3851	1042	1830	3851	927	2596	5643	927	2596	7524	59	78	109	59	78	109	7170	44700	67050	7170	44700	67050
291	407	750	1108	407	882	1303	1046	1836	3864	1046	1836	3864	932	2607	5672	932	2607	7562	59	78	109	59	78	109	7205	45002	67503	7205	45002	67503
292	409	752	1112	409	885	1308	1050	1842	3877	1050	1842	3877	937	2618	5701	937	2618	7600	59	79	110	59	79	110	7240	45304	67956	7240	45304	67956
293	410	755	1115	410	888	1312	1053	1848	3889	1053	1848	3889	943	2630	5729	943	2630	7639	60	79	110	60	79	110	7274	45606	68409	7274	45606	68409
294	412	757	1119	412	890	1316	1057	1854	3902	1057	1854	3902	948	2641	5758	948	2641	7677	60	80	111	60	80	111	7309	45908	68862	7309	45908	68862
295	413	759	1122	413	893	1320	1061	1860	3915	1061	1860	3915	953	2652	5787	953	2652	7715	60	80	111	60	80	111	7344	46210	69315	7344	46210	69315
296	414	762	1126	414	896	1324	1064	1866	3927	1064	1866	3927	959	2664	5815	959	2664	7754	60	80	111	60	80	111	7378	46512	69768	7378	46512	69768
297	416	764	1129	416	899	1329	1068	1872	3940	1068	1872	3940	964	2675	5844	964	2675	7792	60	80	111	60	80	111	7413	46814	70221	7413	46814	70221
298	417	767	1133	417	902	1333	1072	1878	3953	1072	1878	3953	970	2686	5873	970	2686	7830	60	80	112	60	80	112	7448	47116	70674	7448	47116	70674
299	419	769	1136	419	904	1336	1075	1884	3965	1075	1884	3965	976	2698	5901	976	2698	7869	61	81	112	61	81	112	7482	47418	71127	7482	47418	71127
300	420	771	1140	420	907	1341	1079	1890	3978	1079	1890	3978	982	2709	5930	982	2709	7907	61	81	113	61	81	113	7517	47720	71580	7517	47720	71580
301	421	774	1143	421	910	1345	1083	1896	3991	1083	1896	3991	988	2721	5959	988	2721	7945	61	81	114	61	81	114	7552	48022	72033	7552	48022	72033
302	423	776	1147	423	913	1349	1086	1902	4003	1086	1902	4003	993	2732	5988	993	2732	7984	62	82	114	62	82	114	7586	48324	72486	7586	48324	72486
303	424	778	1150	424	916	1353	1090	1908	4016	1090	1908	4016	999	2744	6017	999	2744	8022	62	82	115	62	82	115	7621	48626	72939	7621	48626	72939
304	426	781	1154	426	918	1357	1094	1914	4029	1094	1914	4029	1005	2755	6046	1005	2755	8060	62	82	115	62	82	115	7656	48928	73392	7656	48928	73392
305	427	783	1157	427	921	1361	1097	1920	4041	1097	1920	4041	1010	2766	6074	1010	2766	8099	62	82	115	62	82	115	7690	49230	73845	7690	49230	73845
306	428	785	1161	428	924	1365	1101	1926	4054	1101	1926	4054	1016	2777	6103	1016	2777	8137	62	82	115	62	82	115	7725	49532	74298	7725	49532	74298
307	430	788	1164	430	927	1369	1105	1932	4067	1105	1932	4067	1022	2789	6132	1022	2789	8175	62	83	116	62	83	116	7760	49834	74751	7760	49834	74751
308	431	790	1168	431	930	1373	1108	1938	4079	1108	1938	4079	1027	2800	6160	1027	2800	8214	63	83	116	63	83	116	7794	50136	75204	7794	50136	75204
309	433	792	1171	433	932	1378	1112	1944	4092	1112	1944	4092	1033	2812	6189	1033	2812	8252	63	84	117	63	84	117	7829	50438	75657	7829	50438	75657
310	434	795	1175	434	935	1382	1116	1950	4105	1116	1950	4105	1039	2823	6218	1039	2823	8290	63	84	117	63	84	117	7864	50740	76110	7864	50740	76110
311	435	797	1178	435	938	1386	1119	1956	4117	1119	1956	4117	1045	2834	6246	1045	2834	8329	63	84	117	63	84	117	7898	51042	76563	7898	51042	76563
312	437	799	1182	437	941	1390	1123	1962	4130	1123	1962	4130	1051	2845	6275	1051	2845	8367	63	84	117	63	84	117	7933	51344	77016	7933	51344	77016
313	438	802	1185	438	944	1394	1127	1968	4143	1127	1968	4143	1057	2857	6304	1057	2857	8405	63	84	117	63	84	117	7968	51646	77469	7968	51646	77469
314	440	804	1189	440	946	1398	1130	1974	4155	1130	1974	4155	1062	2868	6333	1062	2868	8444	64	85	118	64	85	118	8002	51948	77922	8002	51948	77922
315	441	807	1192	441	949	1402	1134	1980	4168	1134	1980	4168	1068	2880	6362	1068	2880	8482	64	85	118	64	85	118	8037	52250	78375	8037	52250	78375
316	442	809	1196	442	952	1406	1138	1986	4181	1138	1986	4181	1074	2892	6391	1074	2892	8520	64	85	119	64	85	119	8072	52552	78828	8072	52552	78828
317	444	812	1199	444	955	1411	1141	1992	4193	1141	1992	4193	1079	2903	6419	1079	2903	8559	65	86	119	65	86	119	8106	52854	79281	8106	52854	79281
318	445	814	1203	445	958	1415	1145	1998	4206	1145	1998	4206	1085	2915	6448	1085	2915	8597	65	86	120	65	86	120	8141	53156	79734	8141	53156	79734
319	447	816	1206	447	960	1419	1149	2004	4219	1149	2004	4219	1091	2926	6477	1091	2926	8635	65	86	120	65	86	120	8176	53458	80187	8176	53458	80187
320	448	819	1209	448	963	1422	1152	2010	4231	1152	2010	4231	1097	2937	6505	1097	2937	8674	65	86	120	65	86	120	8210	53760	80640	8210	53760	80640
321	449	821	1212	449	966	1427	1156	2016	4244	1156	2016	4244	1103	2948	6534	1103	2948	8712	65	86	120	65	86	120	8245	54062	81093	8245	54062	81093
322	451	823	1216	451	969	1431	1160	2022	4257	1160	2022	4257	1109	2960	6563	1109	2960	8750	65	87	121	65	87	121	8280	54364	81546	8280	54364	81546
323	452	826	1220	452	972	1435	1163	2028	4269	1163	2028	4269	1114	2971	6591	1114	2971	8789	66	87	121	66	87	121	8314	54666	81999	8314	54666	81999
324	454	828	1224	454	974	1439	1167	2034	4282	1167	2034	4282	1120	2983	6620	1120	2983	8827	66	88	122	66	88	122	8349	54968	82452	8349	54968	82452
325	455	830	1227	455	977	1443	1171	2040	4295	1171	2040	4295	1126	2994	6649	1126	2994	8865	66	88	123	66	88	123	8384	55270	82905	8384	55270	82905
326	456	833	1231	456	980	1448	1174	2046	4307	1174	2046	4307	1131	3005	6678	1131	3005	8904	67	89	123	67	89	123	8418	55572	83358	8418	55572	83358
327	458	835	1234	458	983	1452	1178	2052	4320	1178	2052	4320	1137	3016	6707	1137	3016	8942	67	89	124	67	89	124	8453	55874	83811	8453	55874	83811
328	459	837	1238	459	986	1456	1182	2058	4333	1182	2058	4342	1143	3022	6738	1143	3022	8228	67	89	125	67	89	125	8502	56166	84270	8502	56166	84270
329	461	840	1242	461	988	1460	1185	2064	4345	1185	2064	4363	1148	3027	6769	1148	3027	7514	68	90	125	68	90	125	8551	56458	84730	8551	56458	84730
330	462	842	1246	462	991	1464	1189	2070	4358	1189	2070	4385	1154	3033	6800	1154	3033	6800	68	90	126	68	90	126	8600	56750	85189	8600	56750	85189
