Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Greed	100	1	1	1		1				4	21	gold%		20	40									1	lgld	lcha	marb									0	0	0
of Greed	100	1	1	7		5				4	21	gold%		42	60									1	lgld	lcha	marb									0	0	0
of Greed	100	1	1	19		14				4	21	gold%		62	80									1	lgld	lcha	marb									0	0	0
of Greed	100	1	1	1		5				4	21	gold%		10	20									1	lgld	mcha										0	0	0
of Greed	100	1	1	20		15				4	21	gold%		22	44									1	lgld	mcha										0	0	0
of Greed	100	1	1	1		15				4	21	gold%		10	20									1	lgld	scha										0	0	0
of Avarice	100	1	1	1		1				4	21	gold%		20	60									1	lgld	jewl										0	0	0
of Chance	1	1	1	12		9				4	22	mag%		10	30									1	lgld	boot	glov	ring	amul	circ						0	0	0
of Fortune	1	1	1	16		12				4	22	mag%		32	50									1	lgld	boot	glov	amul	circ							0	0	0
of Fortune	1	1		42		31				4	22	mag%		32	50									1	lgld	ring										0	0	0
of Luck	100	1		26		19				4	22	mag%		52	70									1	lgld	boot	amul	circ								0	0	0
of Fortune	100	1	1	31		18				3	22	mag%		6	10									1	lgld	scha										0	0	0
of Good Luck	100	1		47		33				2	22	mag%		12	14									1	lgld	scha										0	0	0
of Prosperity	100	1	1	26		19				2	22	mag%		10	20									1	lgld	jewl										0	0	0
of Energy	1	1	1	1		1				4	23	enr		2	6									1	dgld	amul	orb	circ	wand	staf						0	0	0
of the Mind	1	1	1	7		3				4	23	enr		8	12									1	dgld	amul	orb	circ	wand	staf						0	0	0
of Brilliance	1	1	1	13		9				3	23	enr		14	20									1	dgld	amul	orb	circ	wand	staf						0	0	0
of Sorcery	1	1	1	21		16				3	23	enr		22	30									1	dgld	amul	orb	circ	wand	staf						0	0	0
of Wizardry	1	1	1	31		23				3	23	enr		32	40									1	dgld	amul	orb	circ	wand	staf						0	0	0
of Enlightenment	100	1		41		33				3	23	enr		42	60									1	dgld	amul	orb	circ	wand	staf						0	0	0
of Energy	1	1	1	7		5				4	23	enr		2	6									1	dgld	ring										0	0	0
of the Mind	1	1	1	13		9				3	23	enr		8	12									1	dgld	ring										0	0	0
of Brilliance	1	1	1	21		16				3	23	enr		14	20									1	dgld	ring										0	0	0
of Sorcery	1	1	1	31		23				3	23	enr		22	30									1	dgld	ring										0	0	0
of Wizardry	100	1		41		33				3	23	enr		32	40									1	dgld	ring										0	0	0
of Energy	1	1	1	4		3				3	23	enr		2	6									1	dgld	helm	scep									0	0	0
of the Mind	1	1	1	10		7				3	23	enr		8	12									1	dgld	helm	scep									0	0	0
of Brilliance	1	1	1	16		12				3	23	enr		14	20									1	dgld	helm	scep									0	0	0
of Sorcery	100	1		26		21				3	23	enr		22	30									1	dgld	helm	scep									0	0	0
of Knowledge	100	1	1	9		6				3	23	enr		2	10									1	dgld	jewl										0	0	0
of the Bear	1	1	1	8		6				3	24	knock		2	2											mele										0	0	0
of Light	1	1	1	6		4				1	25	light		2	2	att		30	30							armo	rod	ring	amul							0	0	0
of Radiance	1	1	1	15		11				1	25	light		6	6	att		60	60							rod	miss	ring	amul	helm						0	0	0
of the Sun	1	1	1	17		12				1	25	light		10	10	att%		10	10							rod	miss	glov	ring	amul	helm					0	0	0
of the Jackal	1	1	1	1		1				3	26	hp		2	10									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Fox	1	1	1	7		5				3	26	hp		12	20									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Wolf	1	1	1	15		11				3	26	hp		22	40									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Tiger	1	1	1	20		15				3	26	hp		42	60									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Mammoth	1	1	1	25		18				3	26	hp		62	80									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Colosuss	1	1	1	30		22				3	26	hp		82	120									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Squid	100	1		40		30				3	26	hp		122	160									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Whale	100	1		50		37				3	26	hp		162	200									1	cred	tors	belt	amul	phlm	circ						0	0	0
of the Jackal	100	1	1	4		3				3	26	hp		2	10									1	cred	shld	pelt									0	0	0
of the Fox	100	1	1	11		8				3	26	hp		12	20									1	cred	shld	pelt									0	0	0
of the Wolf	100	1	1	27		20				3	26	hp		22	40									1	cred	shld	pelt									0	0	0
of the Tiger	100	1	1	43		35				3	26	hp		42	60									1	cred	shld	pelt									0	0	0
of the Mammoth	100	1	1	59		51				3	26	hp		62	80									1	cred	shld	pelt									0	0	0
of the Colosuss	100	1		75		67				3	26	hp		82	120									1	cred	shld	pelt									0	0	0
of the Jackal	1	1	1	8		6				3	26	hp		2	10									1	cred	club	hamm	mace	ring	helm						0	0	0
of the Fox	1	1	1	17		13				3	26	hp		12	20									1	cred	club	hamm	mace	ring	helm						0	0	0
of the Wolf	1	1	1	34		26				3	26	hp		22	40									1	cred	club	hamm	mace	ring	helm						0	0	0
of the Tiger	1	1	1	51		43				3	26	hp		42	60									1	cred	club	hamm	mace	ring	helm						0	0	0
of the Mammoth	1	1	1	68		60				3	26	hp		62	80									1	cred	club	hamm	mace	ring	helm						0	0	0
of Life	100	1	1	1		1				4	26	hp		10	20									1	cred	lcha	marb									0	0	0
of Life	100	1	1	9		6				4	26	hp		22	30									1	cred	lcha	marb									0	0	0
of Life	100	1	1	19		14				4	26	hp		32	40									1	cred	lcha	marb									0	0	0
of Substinence	100	1	1	31		23				4	26	hp		42	50									1	cred	lcha	marb									0	0	0
of Substinence	100	1	1	45		37				4	26	hp		52	60									1	cred	lcha	marb									0	0	0
of Substinence	100	1	1	61		53				4	26	hp		62	70									1	cred	lcha	marb									0	0	0
of Vita	100	1		77		69				4	26	hp		72	80									1	cred	lcha	marb									0	0	0
of Vita	100	1		91		83				4	26	hp		82	90									1	cred	lcha	marb									0	0	0
of Vita	100	1		110		97				4	26	hp		92	100									1	cred	lcha	marb									0	0	0
of Life	100	1	1	1		9				4	26	hp		12	20									1	cred	mcha										0	0	0
of Life	100	1	1	12		9				4	26	hp		22	30									1	cred	mcha										0	0	0
of Substinence	100	1	1	26		19				4	26	hp		32	40									1	cred	mcha										0	0	0
of Substinence	100	1	1	42		34				4	26	hp		42	50									1	cred	mcha										0	0	0
of Vita	100	1		58		50				4	26	hp		52	60									1	cred	mcha										0	0	0
of Vita	100	1		74		66				4	26	hp		62	70									1	cred	mcha										0	0	0
of Life	100	1	1	1		14				4	26	hp		10	20									1	cred	scha										0	0	0
of Substinence	100	1	1	23		17				4	26	hp		22	30									1	cred	scha										0	0	0
of Vita	100	1		47		39				4	26	hp		32	40									1	cred	scha										0	0	0
of Spirit	100	1	1	1		1				4	26	hp		6	16									1	cred	jewl										0	0	0
of Hope	100	1		45		37				4	26	hp		18	40									1	cred	jewl										0	0	0
of the Leech	1	1	1	6		4				7	27	lifesteal		8	10									1	cred	weap							orb			0	0	0
of the Locust	1	1	1	20		15				7	27	lifesteal		12	14									1	cred	mele							orb			0	0	0
of the Lamprey	100	1	1	55		43				7	27	lifesteal		16	18									1	cred	mele							orb			0	0	0
of the Leech	1	1	1	14		10				4	27	lifesteal		6	8									1	cred	ring	circ									0	0	0
of the Locust	1	1	1	47		35				4	27	lifesteal		10	12									1	cred	ring	circ									0	0	0
of the Lamprey	100	1	1	77		65				4	27	lifesteal		14	16									1	cred	ring	circ									0	0	0
of the Leech	1	1	1	34		26				4	27	lifesteal		6	6									1	cred	glov										0	0	0
of the Bat	1	1	1	7		4				7	28	manasteal		8	10									1	cred	weap										0	0	0
of the Wraith	1	1	1	21		16				7	28	manasteal		12	14									1	cred	mele										0	0	0
of the Vampire	100	1	1	56		48				7	28	manasteal		16	18									1	cred	mele										0	0	0
of the Bat	1	1	1	15		11				4	28	manasteal		6	8									1	cred	amul	circ									0	0	0
of the Wraith	1	1	1	58		40				4	28	manasteal		10	12									1	cred	amul	circ									0	0	0
of the Vampire	100	1	1	78		66				4	28	manasteal		14	16									1	cred	amul	circ									0	0	0
of the Bat	1	1	1	35		27				4	28	manasteal		6	6									1	cred	glov										0	0	0
of Defiance	1	1	1	25		18				2	29	res-pois-len		150	150									1	dred	tors	shld	amul	circ							0	0	0
of Amelioration	1	1	1	18		13				3	29	res-pois-len		100	100									1	dred	tors	shld	amul	circ							0	0	0
of Remedy	100	1	1	7		5				3	29	res-pois-len		50	50									1	dred	armo	ring	amul	circ							0	0	0
of Simplicity	1	1	1	25		18				2	30	ease		-60	-60											tors	weap	shld					rod	orb		0	0	0
of Ease	1	1	1	15		11				3	30	ease		-40	-40											tors	weap	shld					rod	orb		0	0	0
of Freedom	100	1	1	1		1				3	30	ease		-30	-30											jewl										0	0	0
of Strength	1	1	1	1		1				4	31	str		2	4									1	dgld	amul	belt	club	hamm	circ						0	0	0
of Might	1	1	1	10		8				3	31	str		6	10									1	dgld	amul	belt	club	hamm	circ						0	0	0
of the Ox	1	1	1	26		19				3	31	str		12	18									1	dgld	amul	belt	club	hamm	circ						0	0	0
of the Giant	1	1	1	42		34				3	31	str		20	30									1	dgld	amul	belt	club	hamm	circ						0	0	0
of the Titan	1	1	1	58		50				3	31	str		32	40									1	dgld	amul	belt	club	hamm	circ						0	0	0
of Atlus	100	1	1	71		63				3	31	str		42	60									1	dgld	amul	belt	club	hamm	circ						0	0	0
of Strength	1	1	1	5		3				4	31	str		2	4									1	dgld	ring	scep	mace	tors							0	0	0
of Might	1	1	1	21		15				3	31	str		6	10									1	dgld	ring	scep	mace	tors							0	0	0
of the Ox	1	1	1	38		30				3	31	str		12	18									1	dgld	ring	scep	mace	tors							0	0	0
of the Giant	1	1	1	55		47				3	31	str		20	30									1	dgld	ring	scep	mace	tors							0	0	0
of the Titan	100	1		74		66				3	31	str		32	40									1	dgld	ring	scep	mace	tors							0	0	0
of Strength	1	1	1	12		8				3	31	str		2	4									1	dgld	mele	glov	shld					blun			0	0	0
of Might	1	1	1	33		25				3	31	str		6	10									1	dgld	mele	glov	shld					blun			0	0	0
of the Ox	1	1	1	45		37				3	31	str		12	18									1	dgld	mele	glov	shld					blun			0	0	0
of the Giant	100	1	1	59		51				3	31	str		20	30									1	dgld	mele	glov						blun			0	0	0
of Strength	100	1	1	1		1				4	31	str		6	8									1	dgld	lcha	marb									0	0	0
of Strength	100	1	1	3		2				4	31	str		4	6									1	dgld	mcha										0	0	0
of Strength	100	1	1	7		5				4	31	str		2	2									1	dgld	scha										0	0	0
of Strength	100	1	1	14		10				4	31	str		10	12									1	dgld	lcha	marb									0	0	0
of Strength	100	1	1	18		13				4	31	str		8	10									1	dgld	mcha										0	0	0
of Strength	100	1	1	22		16				4	31	str		4	4									1	dgld	scha										0	0	0
of Virility	100	1	1	18		13				4	31	str		2	8									1	dgld	jewl										0	0	0
of Pacing	1	1	1	12		8				3	35	move1		20	20											boot	circ									0	0	0
of Haste	1	1	1	22		16				4	35	move2		40	40											boot	circ									0	0	0
of Speed	1	1	1	37		29				4	35	move3		60	60											boot	circ									0	0	0
of Traveling	100	1		65		57				4	35	move3		60	60	stamdrain		160	180							boot										0	0	0
of Acceleration	100	1		51		43				4	35	move3		80	80											boot										0	0	0
of Inertia	100	1	1	19		14				4	35	move3		14	14											lcha	marb									0	0	0
of Inertia	100	1	1	24		18				4	35	move2		10	10											mcha										0	0	0
of Inertia	100	1		35		27				4	35	move1		6	6											scha										0	0	0
of Self-Repair	100	1	1	3		1				3	37	rep-dur	3													weap	armo						thro	miss		0	0	0
of Fast Repair	100	1	1	20		12				2	37	rep-dur	5													weap	armo						thro	miss		0	0	0
of Ages	100	1		50		42				1	39	indestruct														weap	armo						thro	miss		0	0	0
of Replenishing	100	1	1	5		3				255	39	rep-quant	5													thro	bowq	xboq								0	0	0
of Propogation	100	1	1	24		18				255	39	rep-quant	10													thro	bowq	xboq								0	0	0
of the Kraken	100	1		20		1				1	41	hp/lvl	6											1	cred	tors	amul	pelt	phlm							0	0	0
of Memory	100	1		20		1				1	41	mana/lvl	6											1	cred	circ	amul	pelt								0	0	0
of the Elephant	100	1		37		7				2	41	hp/lvl	4			mana/lvl	2							1	cred	circ	pelt									0	0	0
of Power	100			1		1				1	42	str/lvl	3											1	dgld	belt	amul									0	0	0
of Grace	100			1		1				1	42	dex/lvl	3											1	dgld	helm	amul									0	0	0
of Grace and Power	100			1		1				1	42	str/lvl	1			dex/lvl	1							1	dgld	amul										0	0	0
of the Yeti	100			1		1				1	43	res-cold/lvl	3											1	lblu	tors	glov	amul								0	0	0
of the Phoenix	100			1		1				1	43	res-fire/lvl	3											1	cred	shld	helm	amul								0	0	0
of the Efreeti	100			1		1				1	43	res-ltng/lvl	3											1	cblu	glov	boot	ring								0	0	0
of the Cobra	100			1		1				1	43	res-pois/lvl	3											1	dyel	belt	ring	amul								0	0	0
of the Elements	100			1		1				10	43	res-cold/lvl	1			res-fire/lvl	1			res-ltng/lvl	1			1	dgld	circ										0	0	0
of Firebolts	100	1	1	16		12				1	44	hit-skill	36	20	16											weap							miss			0	0	0
of Firebolts	100	1	1	6		4				1	44	att-skill	36	10	6											weap							miss			0	0	0
of Firebolts	100	1	1	20		15				1	44	att-skill	36	20	8											weap							miss			0	0	0
of Charged Shield	100	1	1	6		4				1	44	gethit-skill	38	20	6											armo	ring	amul								0	0	0
of Charged Shield	100	1	1	16		12				1	44	gethit-skill	38	24	8											armo	ring	amul								0	0	0
of Charged Shield	100	1	1	26		19				1	44	gethit-skill	38	28	10											armo	ring	amul								0	0	0
of Icebolt	100	1	1	6		4				1	44	att-skill	39	10	6									1	lblu	weap							miss			0	0	0
of Frozen Armor	100										44																									0	0	0
of Static Field	100										44																									0	0	0
of Telekinesis	100	1	1								44																									0	0	0
of Frost Shield	100	1	1	12		9				1	44	gethit-skill	44	10	6									1	lblu	armo	amul									0	0	0
of Ice Blast	100										44																									0	0	0
of Blaze	100										44																									0	0	0
of Fire Ball	100										44																									0	0	0
of Nova	100	1	1	18		13				1	44	hit-skill	48	20	6									1	cblu	weap							miss			0	0	0
of Nova	100	1	1	28		21				1	44	hit-skill	48	24	8									1	cblu	weap							miss			0	0	0
of Nova Shield	100	1	1	18		13				1	44	gethit-skill	48	20	6									1	cblu	armo	ring 									0	0	0
of Nova Shield	100	1	1	28		21				1	44	gethit-skill	48	24	8									1	cblu	armo	ring 									0	0	0
of Nova Shield	100	1	1	38		28				1	44	gethit-skill	48	28	10									1	cblu	armo	ring 									0	0	0
of Lightning	100	1	1	18		13				1	44	att-skill	49	10	6									1	cblu	weap							miss			0	0	0
of Lightning	100			12		18		sor	9	1	44	charged	49	100	2									1	cblu	weap										0	0	0
of Shiver Armor	100										44																									0	0	0
of Fire Wall	100										44																									0	0	0
of Enchant	100										44																									0	0	0
of Chain Lightning	100	1	1	25		18				1	44	att-skill	53	10	6											weap	ring	amul					miss			0	0	0
of Chain Lightning	100	1	1	35		26				1	44	att-skill	53	16	6											weap	ring	amul					miss			0	0	0
of Chain Lightning	100	1	1	45		33				1	44	att-skill	53	16	10											weap	ring	amul					miss			0	0	0
of Teleport Shield	100			25		18				1	44	gethit-skill	54	20	6									1	whit	armo	ring	amul								0	0	0
of Teleport Shield	100			35		26				1	44	gethit-skill	54	28	6									1	whit	armo	ring	amul								0	0	0
of Teleport Shield	100			45		33				1	44	gethit-skill	54	36	6									1	whit	armo	ring	amul								0	0	0
of Glacial Spike	100										44																									0	0	0
of Meteor	100										44																									0	0	0
of Thunder Storm	100										44																									0	0	0
of Energy Shield	100										44																									0	0	0
of Blizzard	100										44																									0	0	0
of Chilling Armor	100										44																									0	0	0
of Hydra Shield	100	1	1	40		30				1	44	gethit-skill	62	20	6									1	cred	amul										0	0	0
of Frozen Orb	100										44																									0	0	0
of Dawn	100			30		22				0	45	ac/time	3	20	80																					0	0	0
of Sunlight	100			30		22				0	45	ac/time	0	-20	120																					0	0	0
of Magic Arrows	100	1	1	12		11		ama	1	1	44	charged	6	-60	-20											miss	abow									0	0	0
of Magic Arrows	100			35		28		ama	3	1	44	charged	6	-40	-12											glov										0	0	0
of Fire Arrows	100			13		12		ama	1	1	44	charged	7	-60	-20											miss	abow									0	0	0
of Fire Arrows	100	1	1	40		32		ama	3	1	44	charged	7	-40	-12											glov										0	0	0
of Inner Sight	100	1	1	18		14		ama	2	1	44	charged	8	-60	-12											amul	amaz	circ								0	0	0
of Inner Sight	100	1	1	50		42		ama	5	1	44	charged	8	-40	-8											glov										0	0	0
of Jabbing	100			24		18		ama	3	1	44	charged	10	-120	-14											spea	aspe									0	0	0
of Jabbing	100			50		42		ama	5	1	44	charged	10	-40	-8											glov										0	0	0
of Cold Arrows	100	1	1	15		16		ama	6	1	44	charged	11	-60	-16											miss	abow									0	0	0
of Cold Arrows	100	1	1	47		39		ama	9	1	44	charged	11	-40	-10											glov										0	0	0
of Multiple Shot	100	1	1	18		19		ama	6	1	44	charged	12	-60	-16											miss	abow									0	0	0
of Multiple Shot	100	1	1	63		55		ama	12	1	44	charged	12	-40	-8											glov										0	0	0
of Power Strike	100	1	1	12		13		ama	6	1	44	charged	14	-120	-12											spea	aspe									0	0	0
of Power Strike	100	1	1	55		47		ama	9	1	44	charged	14	-40	-8											glov										0	0	0
of Poison Jab	100			17		18		ama	6	1	44	charged	15	-120	-12											amul	circ									0	0	0
of Poison Jab	100			67		59		ama	13	1	44	charged	15	-40	-6											glov										0	0	0
of Exploding Arrows	100	1	1	30		26		ama	12	1	44	charged	16	-60	-12											miss	abow									0	0	0
of Exploding Arrows	100	1	1	69		61		ama	17	1	44	charged	16	-40	-8											glov										0	0	0
of Slow Missiles	100			33		27		ama	12	1	44	charged	17	-60	-10											amaz										0	0	0
of Slow Missiles	100			68		60		ama	15	1	44	charged	17	-40	-6											glov	amul									0	0	0
of Impaling Strike	100			24		18		ama	12	1	44	charged	19	-120	-12											spea	aspe									0	0	0
of Impaling Strike	100			59		51		ama	15	1	44	charged	19	-40	-8											glov										0	0	0
of Lightning Javelin	100			25		18		ama	12	1	44	charged	20	-120	-12											amul	circ									0	0	0
of Lightning Javelin	100			70		62		ama	17	1	44	charged	20	-40	-6											glov										0	0	0
of Ice Arrows	100	1	1	36		28		ama	18	1	44	charged	21	-60	-10											miss	abow									0	0	0
of Ice Arrows	100	1	1	72		64		ama	22	1	44	charged	21	-40	-6											glov										0	0	0
of Guided Arrows	100			34		26		ama	18	1	44	charged	22	-60	-10											miss	abow									0	0	0
of Guided Arrows	100			69		61		ama	21	1	44	charged	22	-40	-6											glov										0	0	0
of Charged Strike	100	1	1	33		25		ama	18	1	44	charged	24	-120	-10											spea	aspe									0	0	0
of Charged Strike	100	1	1	68		60		ama	21	1	44	charged	24	-40	-6											glov										0	0	0
of Plague Jab	100			35		27		ama	18	1	44	charged	25	-120	-10											amul	circ									0	0	0
of Plague Jab	100			71		63		ama	22	1	44	charged	25	-40	-6											glov										0	0	0
of Immolating Arrows	100			42		36		ama	24	1	44	charged	27	-60	-8											miss	abow									0	0	0
of Immolating Arrows	100			85		77		ama	27	1	44	charged	27	-40	-4											glov										0	0	0
of Fending	100			41		35		ama	24	1	44	charged	30	-120	-10											spea	aspe									0	0	0
of Fending	100			83		75		ama	26	1	44	charged	30	-40	-6											glov										0	0	0
of Freezing Arrows	100	1	1	50		42		ama	30	1	44	charged	31	-60	-8											miss	abow									0	0	0
of Freezing Arrows	100	1	1	94		86		ama	33	1	44	charged	31	-40	-4											glov										0	0	0
of Lightning Strike	100	1	1	47		39		ama	30	1	44	charged	34	-120	-8											spea	aspe									0	0	0
of Lightning Strike	100	1	1	90		82		ama	32	1	44	charged	34	-40	-4											glov										0	0	0
of Lightning Fury	100			49		41		ama	30	1	44	charged	35	-120	-8											amul	circ									0	0	0
of Lightning Fury	100			92		84		ama	33	1	44	charged	35	-40	-4											glov										0	0	0
of Fire Bolts	100	1	1	7		7		sor	1	1	44	charged	36	-60	-20											staf	orb									0	0	0
of Fire Bolts	100	1	1	14		14		sor	1	1	44	charged	36	-40	-12											swor	ring	circ								0	0	0
of Charged Bolts	100	1	1	7		7		sor	1	1	44	charged	38	-60	-20											staf	orb									0	0	0
of Charged Bolts	100	1	1	14		14		sor	1	1	44	charged	38	-40	-12											hamm	mace	scep	ring	circ						0	0	0
of Ice Bolts	100	1	1	7		7		sor	1	1	44	charged	39	-60	-20											staf	orb									0	0	0
of Ice Bolts	100	1	1	14		14		sor	1	1	44	charged	39	-40	-12											knif										0	0	0
of Frozen Armor	100			7		7		sor	1	1	44	charged	40	-60	-20											staf	orb									0	0	0
of Frozen Armor	100			14		14		sor	1	1	44	charged	40	-40	-12											knif	tors									0	0	0
of Static Field	100			12		12		sor	6	1	44	charged	42	-60	-16											staf	orb									0	0	0
of Static Field	100			24		24		sor	6	1	44	charged	42	-40	-10											hamm	mace	scep	ring	circ						0	0	0
of Telekinesis	100	1	1	12		12		sor	6	1	44	charged	43	-60	-16											staf	orb									0	0	0
of Telekinesis	100	1	1	24		24		sor	6	1	44	charged	43	-40	-10											hamm	mace	scep	ring	circ						0	0	0
of Frost Novas	100	1	1	12		12		sor	6	1	44	charged	44	-60	-16											staf	orb									0	0	0
of Frost Novas	100	1	1	24		24		sor	6	1	44	charged	44	-40	-10											knif	amul	circ								0	0	0
of Ice Blasts	100	1	1	12		12		sor	6	1	44	charged	45	-60	-16											staf	orb									0	0	0
of Ice Blasts	100	1	1	24		24		sor	6	1	44	charged	45	-40	-10											hamm	mace	scep	ring	circ						0	0	0
of Blazing	100			18		18		sor	12	1	44	charged	46	-60	-14											staf	orb									0	0	0
of Blazing	100			36		36		sor	12	1	44	charged	46	-40	-8											boot										0	0	0
of Fire Balls	100	1	1	18		18		sor	12	1	44	charged	47	-60	-14											staf	orb									0	0	0
of Fire Balls	100	1	1	36		36		sor	12	1	44	charged	47	-40	-8											spea	wand									0	0	0
of Novas	100	1	1	18		18		sor	12	1	44	charged	48	-60	-14											staf	orb									0	0	0
of Novas	100	1	1	36		36		sor	12	1	44	charged	48	-40	-8											shld										0	0	0
of Lightning	100	1	1	18		18		sor	12	1	44	charged	49	-60	-14											staf	orb									0	0	0
of Lightning	100	1	1	36		36		sor	12	1	44	charged	49	-40	-8											axe	hamm									0	0	0
of Shiver Armor	100			18		18		sor	12	1	44	charged	50	-60	-14											staf	orb									0	0	0
of Shiver Armor	100			36		36		sor	12	1	44	charged	50	-40	-8											knif	tors									0	0	0
of Fire Walls	100			24		24		sor	18	1	44	charged	51	-60	-12											staf	orb									0	0	0
of Fire Walls	100			48		48		sor	18	1	44	charged	51	-40	-6											pole										0	0	0
of Enchantment	100	1	1	24		24		sor	18	1	44	charged	52	-40	-6											staf	orb									0	0	0
of Enchantment	100	1	1	48		48		sor	18	1	44	charged	52	-20	-2											mele										0	0	0
of Chain Lightning	100	1	1	24		24		sor	18	1	44	charged	53	-60	-12											staf	orb									0	0	0
of Chain Lightning	100	1	1	48		48		sor	18	1	44	charged	53	-40	-6											spea										0	0	0
of Teleportation	100	1	1	24		24		sor	18	1	44	charged	54	-60	-12											staf	orb									0	0	0
of Teleportation	100	1	1	48		48		sor	18	1	44	charged	54	-40	-6											amul	circ									0	0	0
of Glacial Spikes	100	1	1	24		24		sor	18	1	44	charged	55	-60	-12											staf	orb									0	0	0
of Glacial Spikes	100	1	1	48		48		sor	18	1	44	charged	55	-40	-6											knif										0	0	0
of Meteors	100	1	1	30		30		sor	24	1	44	charged	56	-60	-10											staf	orb									0	0	0
of Meteors	100	1	1	60		60		sor	24	1	44	charged	56	-40	-4											knif	club									0	0	0
of Thunder Storm	100			30		30		sor	24	1	44	charged	57	-60	-10											staf	orb									0	0	0
of Thunder Storm	100			60		60		sor	24	1	44	charged	57	-40	-4											hamm	club									0	0	0
of Energy Shield	100			30		30		sor	24	1	44	charged	58	-60	-10											staf	orb									0	0	0
of Energy Shield	100			60		60		sor	24	1	44	charged	58	-40	-4											helm										0	0	0
of Blizzards	100	1	1	30		30		sor	24	1	44	charged	59	-60	-10											staf	orb									0	0	0
of Blizzards	100	1	1	60		60		sor	24	1	44	charged	59	-40	-4											knif										0	0	0
of Chilling Armor	100			30		30		sor	24	1	44	charged	60	-60	-10											staf	orb									0	0	0
of Chilling Armor	100			60		60		sor	24	1	44	charged	60	-40	-4											tors										0	0	0
of Hydras	100			36		36		sor	30	1	44	charged	62	-60	-6											staf	orb									0	0	0
of Hydras	100			72		72		sor	30	1	44	charged	62	-40	-2											club										0	0	0
of Frozen Orbs	100	1	1	36		36		sor	30	1	44	charged	64	-60	-6											staf	orb									0	0	0
of Frozen Orbs	100	1	1	72		72		sor	30	1	44	charged	64	-40	-2											knif										0	0	0
of Amplify Damage	100			7		7		nec	1	1	44	charged	66	-120	-20											wand	knif	head								0	0	0
of Amplify Damage	100			14		14		nec	1	1	44	charged	66	-40	-12											blun										0	0	0
of Teeth	100	1	1	7		7		nec	1	1	44	charged	67	-120	-20											wand	knif	head								0	0	0
of Teeth	100	1	1	14		14		nec	1	1	44	charged	67	-40	-12											swor										0	0	0
of Bone Armor	100			7		7		nec	1	1	44	charged	68	-120	-20											wand	knif	head								0	0	0
of Bone Armor	100			14		14		nec	1	1	44	charged	68	-40	-12											tors										0	0	0
of Raise Skeletons	100			7		7		nec	1	1	44	charged	70	-120	-20											wand	knif	head								0	0	0
of Raise Skeletons	100			14		14		nec	1	1	44	charged	70	-40	-12											amul	circ									0	0	0
of Dim Vision	100	1	1	12		12		nec	6	1	44	charged	71	-120	-16											wand	knif	head								0	0	0
of Dim Vision	100	1	1	24		24		nec	6	1	44	charged	71	-40	-10											ring	circ									0	0	0
of Weaken	100	1	1	12		12		nec	6	1	44	charged	72	-120	-16											wand	knif	head								0	0	0
of Weaken	100	1	1	24		24		nec	6	1	44	charged	72	-40	-10											glov										0	0	0
of Poison Dagger	100	1	1	12		12		nec	6	1	44	charged	73	-120	-16											knif	head									0	0	0
of Poison Dagger	100	1	1	24		24		nec	6	1	44	charged	73	-40	-10											glov	ring	circ								0	0	0
of Corpse Explosions	100			12		12		nec	6	1	44	charged	74	-120	-16											wand	knif	head								0	0	0
of Corpse Explosions	100			24		24		nec	6	1	44	charged	74	-40	-10											club										0	0	0
of Clay Golem Summoning	100			12		12		nec	6	1	44	charged	75	-120	-16											wand	knif	head								0	0	0
of Clay Golem Summoning	100			24		24		nec	6	1	44	charged	75	-40	-10											amul	circ									0	0	0
of Iron Maiden	100			18		18		nec	12	1	44	charged	76	-120	-14											wand	knif	head								0	0	0
of Iron Maiden	100			36		36		nec	12	1	44	charged	76	-40	-8											shld										0	0	0
of Terror	100	1	1	18		18		nec	12	1	44	charged	77	-120	-14											wand	knif	head								0	0	0
of Terror	100	1	1	36		36		nec	12	1	44	charged	77	-40	-8											shld										0	0	0
of Bone Walls	100			18		18		nec	12	1	44	charged	78	-120	-14											wand	knif	head								0	0	0
of Bone Walls	100			36		36		nec	12	1	44	charged	78	-40	-8											club	mace	scep								0	0	0
of Raise Skeletal Mages	100			18		18		nec	12	1	44	charged	80	-120	-14											wand	knif	head								0	0	0
of Raise Skeletal Mages	100			36		36		nec	12	1	44	charged	80	-40	-8											amul	circ									0	0	0
of Confusion	100	1	1	24		24		nec	18	1	44	charged	81	-120	-12											wand	knif	head								0	0	0
of Confusion	100	1	1	48		48		nec	18	1	44	charged	81	-40	-6											ring	circ									0	0	0
of Life Tap	100	1	1	24		24		nec	18	1	44	charged	82	-120	-12											wand	knif	head								0	0	0
of Life Tap	100	1	1	48		48		nec	18	1	44	charged	82	-40	-6											axe										0	0	0
