index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Idun's Mask	Idun's Sheath	usk	Demonhead	3	130	120	dred	dred						5	5000		ac%		100	160	sor		2	2	gold%		300	400	indestruct		1	1	abs-fire%		5	10	ease		-50	-50																																																					0
Idun's Gloves	Idun's Sheath	ulg	Crusader Gauntlets	3	130	120	dred	dred						5	5000		ac%		100	160	sor		2	2	indestruct		1	1	ease		-50	-50	abs-cold%		5	10	enr		15	30																																																					0
Idun's Belt	Idun's Sheath	utc	Troll Belt	3	130	120	dred	dred						5	5000		ac%		100	160	sor		2	2	indestruct		1	1	ease		-50	-50	abs-mag%		5	10	move3		30	30	cast3		30	30	balance3		20	20	mag%		100	150																																									0
Slayer's Hood	Slayer's Gear	cap	Cap	3	17	15	bwht	bwht						5	5000		ac%		100	160	ac/lvl	16			gold%		200	300	red-dmg%		7	10																																																													0
Slayer's Speed	Slayer's Gear	vbt	Heavy Boots	3	17	15	bwht	bwht						5	5000		ac%		100	160	move3		40	40	balance3		20	20	mag%		100	100																																																													0
Slayer's Touch	Slayer's Gear	vgl	Heavy Gloves	3	17	15	bwht	bwht						5	5000		ac%		100	160	swing3		20	20	nofreeze		1	1	dmg-ltng		1	30																																																													0
Pick of Slaying	Slayer's Gear	wrb	Wrist Blade	3	17	15	bwht	bwht						5	5000		dmg%		200	200	ignore-ac		1	1	dmg/lvl	8			dmg-elem	24	10	30	dmg-mag		10	30																																																									0
Hel's Fury	Hel's Sting	7tw	Runic Talons	3	125	125	3	3						5	5000		dmg%		250	250	skill	280	5	5	skilltab	20	1	1	ac-miss		200	200	swing3		50	50	sock		3	3	dmg-mag		50	125																																																	0
Hel's Wrath	Hel's Sting	7lw	Feral Claws	3	125	125	3	3						5	5000		dmg%		250	250	skill	254	5	5	skilltab	20	1	1	ac-hth		200	200	swing3		50	50	sock		3	3	dmg-mag		50	125																																																	0
Hel's Shadow	Hel's Sting	ucl	Loricated Mail	3	125	125	3	3						5	5000		ac%		300	300	balance3		30	30	move3		20	20	skilltab	19	2	2	skill	279	5	5	nofreeze		1	1	red-dmg%		25	25																																																	0
Hel's Soul	Hel's Sting	amu	Amulet	3	125	125	3	3						5	5000		skill	263	5	5	skilltab	18	2	2	ignore-ac		1	1	deadly		15	15	openwounds		20	20	res-all		40	40	red-mag		30	30																																																	0
Bragi's Vision	Bragi's Sentry	drf	Guardian Crown	3	125	125	12	12						5	5000		ac		200	200	skilltab	15	2	2	light		5	5	gold%		50	50	regen-mana		20	20	res-all		25	25	res-all-max		5	5																																																	0
Bragi's Case	Bragi's Sentry	uul	Shadow Plate	3	125	125	12	12						5	5000		ac%		225	225	skilltab	16	2	2	skill	224	5	5	red-dmg%		20	20	balance3		20	20	res-all-max		10	10	ease		-25	-25																																																	0
Bragi's Mighty	Bragi's Sentry	7gi	Glorious Axe	3	125	125	12	12						5	5000		dmg%		250	250	skilltab	17	2	2	skill	249	5	5	swing3		80	80	manasteal		10	10	lifesteal		10	10	dmg%/lvl	8																																																			0
Bragi's Unity	Bragi's Sentry	utc	Troll Belt	3	125	125	12	12						5	5000		ac		150	150	move3		25	25	skill	223	5	5	skill	228	5	5	regen		10	10	red-dmg%		20	20	res-all		25	25																																																	0
Thor's Rage	Thor's Legacy	baf	Bardiche	3	125	125	9	9						5	5000		ac%		125	125	light		5	5	gold%		100	100	mag%		100	100	skilltab	14	2	2	sock		3	3																																																					0
Thor's Might	Thor's Legacy	uar	Sacred Armor	3	125	125	9	9						5	5000		indestruct		1	1	ac%		250	250	res-all		50	50	red-dmg%		25	25	regen		25	25	skilltab	13	2	2	sock		3	3																																																	0
Thor's Pride	Thor's Legacy	uhc	Colossus Girdle	3	125	125	9	9						5	5000		ac%		125	125	res-all-max		25	25	nofreeze		1	1	balance3		50	50	freeze		1	1	ignore-ac		1	1	sock		1	1																																																	0
Thor's Bash	Thor's Legacy	uhg	Ogre Gauntlets	3	125	125	9	9						5	5000		ac%		125	125	swing3		25	25	lifesteal		10	10	openwounds		50	50	crush		50	50	sock		1	1																																																					0
Thor's Swiftness	Thor's Legacy	uhb	Myrmidon Greaves	3	125	125	9	9						5	5000		ac%		125	125	move3		25	25	manasteal		10	10	deadly		50	50	stamdrain		50	50	sock		1	1																																																					0
Thor's Thunder	Thor's Legacy	7gm	Thunder Maul	3	125	125	9	9						5	5000		indestruct		1	1	dmg%		250	250	dmg-demon		250	250	dmg-undead		200	200	skilltab	12	2	2	swing3		75	75	sock		3	3																																																	0
Skadi's Affinity	Skadi's Teachings	ulc	Spiderweb Sash	3	125	125	6	6						5	5000		ac		100	100	move3		40	40	skilltab	4	2	2	skill	57	5	5	balance3		30	30	str		75	75																																																					0
Skadi's Chill	Skadi's Teachings	upk	Blade Barrier	3	125	125	6	6						5	5000		ac%		100	100	block		50	50	res-all-max		10	10	skilltab	5	2	2	skill	59	5	5	dex		75	75																																																					0
Skadi's Fiery Orb	Skadi's Teachings	obf	Dimensional Shard	3	125	125	6	6						5	5000		dmg%		500	500	cast3		50	50	mag%/lvl	16			skilltab	3	2	2	skill	56	5	5	dmg-mag		50	125	dmg		125	125																																																	0
Skadi's Wisdom	Skadi's Teachings	utp	Archon Plate	3	125	125	6	6						5	5000		ac%		200	200	red-dmg%		30	30	skill	37	5	5	skill	63	5	5	skill	65	5	5	skill	67	5	5	ac/lvl	32																																																			0
Skadi's Luck	Skadi's Teachings	usk	Demonhead	3	125	125	6	6						5	5000		light		10	10	mag%/lvl	16			gold%/lvl	32			regen		25	25	regen-mana		50	50																																																									0
Odin's Crown	Odin's Safeguard	urn	Corona	3	125	125	0	0						5	5000		ac%		200	200	skilltab	9	2	2	res-all		50	50	res-all-max		15	15	light		10	10	skill	122	5	5	sock		3	3																																																	0
Odin's Protection	Odin's Safeguard	uth	Lacquered Plate	3	125	125	0	0						5	5000		ac%		300	300	skill	121	5	5	skill	111	5	5	skill	106	5	5	sock		3	3	balance3		50	50	ease		-25	-25																																																	0
Odin's Redemption	Odin's Safeguard	7cr	Phase Blade	3	125	125	0	0						5	5000		dmg%		250	250	dmg-demon		250	250	dmg-undead		250	250	swing3		50	50	skilltab	10	2	2	skill	96	5	5	dmg%/lvl	16																																																			0
Odin's Courage	Odin's Safeguard	paf	Vortex Shield	3	125	125	0	0						5	5000		ac%		300	300	block		25	25	block3		50	50	skilltab	11	2	2	skill	117	5	5	skill	97	5	5	sock		3	3																																																	0
Loki's Skull	Loki's Craft	uh9	Bone Visage	3	125	125	3	3						5	5000		ac		200	200	light		-5	-5	regen-mana		30	30	regen		20	20	skilltab	7	2	2	sock		3	3	res-all		25	25																																																	0
Loki's Study	Loki's Craft	ult	Hellforged Plate	3	125	125	3	3						5	5000		ac%		200	200	ac/lvl	16			skilltab	8	2	2	skill	69	5	5	skill	79	5	5	move3		30	30	ease		-50	-50																																																	0
Loki's Revenge	Loki's Craft	nef	Bloodlord Skull	3	125	125	3	3						5	5000		ac%		200	200	block		50	50	skilltab	6	2	2	skill	76	5	5	skill	66	5	5	res-all		50	50	dex		75	75																																																	0
Loki's Strength	Loki's Craft	7bl	Legend Spike	3	125	125	3	3						5	5000		dmg%		500	500	ignore-ac		1	1	cast3		60	60	skill	84	5	5	skill	93	5	5	skill	73	5	5	lifesteal		15	15																																																	0
Loki's Disbelief	Loki's Craft	uvc	Vampirefang Belt	3	125	125	3	3						5	5000		ac		100	100	res-all-max		10	10	balance3		20	20	skill	74	5	5	skill	92	5	5	regen		20	20	str		75	75																																																	0
Freyja's Aurora Borealis	Freyja's Call to Arms	ci3	Diadem	3	125	125	0	0						5	5000		ac%		200	200	ac/lvl	16			light		5	5	skilltab	2	2	2	skill	8	5	5																																																									0
Freyja's Skill	Freyja's Call to Arms	amu	Amulet	3	125	125	0	0						5	5000		nofreeze		1	1	ac%		100	100	dmg%		100	100	manasteal		10	10	lifesteal		10	10																																																									0
Freyja's Aim	Freyja's Call to Arms	amc	Grand Matron Bow	3	125	125	0	0						5	5000		dmg%		300	300	swing3		40	40	skilltab	0	2	2	ac-hth		200	200	att%		50	50																																																									0
Freyja's Sanctuary	Freyja's Call to Arms	uhn	Boneweave	3	125	125	0	0						5	5000		ac%		200	200	ease		-50	-50	skilltab	1	2	2	red-mag		25	25	res-all		30	30	balance3		20	20																																																					0
Freyja's Sisterhood	Freyja's Call to Arms	umc	Mithril Coil	3	125	125	0	0						5	5000		ac		100	100	red-dmg%		30	30	skill	32	5	5	move3		20	20																																																													0
Paniik's Dream	Paniik Attack	amu	Amulet	3	125	125	19	19						5	5000		swing3		50	50	bar		1	1	light		5	5	lifesteal		25	25	manasteal		25	25																																																									0
Paniik's Love	Paniik Attack	7wd	Mythical Sword	3	125	125	19	19						5	5000		dmg%		300	300	swing3		50	50	skill	147	5	5	sock		3	3	indestruct		1	1																																																									0
Paniik's Darkness	Paniik Attack	uhm	Spired Helm	3	125	125	19	19						5	5000		ac%		150	150	bar		1	1	balance3		20	20	res-all-max		5	5	gold%		250	250	mag%		125	125																																																					0
Paniik's Hate	Paniik Attack	7bs	Conquest Sword	3	125	125	19	19						5	5000		dmg%		300	300	swing3		50	50	skill	147	5	5	sock		3	3	indestruct		1	1																																																									0
Paniik's Chest	Paniik Attack	upl	Balrog Skin	3	125	125	19	19						5	5000		ac%		300	300	skill	145	5	5	skill	153	5	5	red-dmg%		10	10	red-mag		20	20																																																									0
Psychomech's Insight	Psychomech's Revelation	ulm	Armet	3	125	125	3	3						5	5000		ac		500	500	regen		50	50	sock		3	3	skilltab	18	2	2	skill	266	5	5	gold%		200	200	mag%		100	100																																																	0
Psychomech's Understanding	Psychomech's Revelation	urs	Great Hauberk	3	125	125	3	3						5	5000		ac%		250	250	skilltab	19	2	2	skill	258	5	5	red-dmg%		25	25	res-all		25	25	res-all-max		10	10	sock		3	3																																																	0
Psychomech's Sanity	Psychomech's Revelation	uit	Monarch	3	125	125	3	3						5	5000		ac%		300	300	block		25	25	block3		50	50	skill	277	5	5	indestruct		1	1	sock		3	3	regen-mana		50	50																																																	0
Psychomech's Madness	Psychomech's Revelation	7qr	Scissors Suwayyah	3	125	125	3	3						5	5000		dmg%		250	250	dmg-demon		250	250	dmg-undead		250	250	skilltab	20	2	2	skill	252	5	5	swing3		50	50	sock		3	3																																																	0
Death	The Afterlife	amf	MatriarchalJavelin	3	125	125	0	0						5	5000		dmg%		500	500	swing3		50	50	skilltab	2	2	2	skill	35	5	5	skill	30	5	5	pierce		100	100	rep-quant	50																																																			0
Wisdom	The Afterlife	uhl	Giant Conch	3	125	125	0	0						5	5000		ac%		250	250	regen		50	50	light		5	5	skilltab	0	2	2	gold%		200	200	mag%		100	100																																																					0
Canonization	The Afterlife	uow	Aegis	3	125	125	0	0						5	5000		ac%		250	250	block		25	25	block3		50	50	nofreeze		1	1	indestruct		1	1	regen-mana		50	50	ease		-100	-100																																																	0
Ascension	The Afterlife	uld	Kraken Shell	3	125	125	0	0						5	5000		ac%		250	250	skilltab	1	2	2	skill	32	5	5	red-dmg%		25	25	res-all		25	25	res-all-max		10	10																																																					0
Norse Knowledge	Nordic Folklore	uhm	Spired Helm	3	250	250	lyel	lyel						5	5000		allskills		1	3	ac%		200	400	cast2		20	30	dmg%		100	200	ar/lvl		5	5																																																									0
Norse Determination	Nordic Folklore	uar	Sacred Armor	3	250	250	lyel	lyel						5	5000		hit-skill	66	5	5	ac%		250	500	balance3		25	25	str/lvl		10	10	dex/lvl		10	10																																																									0
Norse Fortitude	Nordic Folklore	zhb	War Belt	3	250	250	lyel	lyel						5	5000		res-pois-len		75	75	ac%		100	200	hp%		5	25	mana		66	100	lifesteal		5	5																																																									0
Norse Ambition	Nordic Folklore	rin	Ring	1	250	250	lyel	lyel						5	5000		allskills		1	3	lifesteal		5	10	manasteal		5	5	res-all		-50	-50	dmg%/lvl		5	5																																																									0
Norse Strength	Nordic Folklore	ulg	Bramble Mitts	3	250	250	lyel	lyel						5	5000		allskills		1	3	cast3		20	20	heal-kill		15	15	mana-kill		15	15	regen		10	20																																																									0
Norse Elementalist	Nordic Folklore	amu	Amulet	1	300	250	lyel	lyel						5	5000		extra-fire		5	350	extra-cold		5	350	extra-ltng		5	350	extra-pois		5	350	res-all		-100	-100	regen		-250	-250																																																					0
Blind Eyes	The Deceiver's Treasure	cap	Cap	3	40	40	dgrn	dgrn						5	5000	2	stupidity		100	100	res-all-max		20	20																													noheal		1	1																																					0
Valhalla's Beauty	The Deceiver's Treasure	vgl	Heavy Gloves	3	40	40	dgrn	dgrn						5	5000	2	abs-ltng%		25	25	extra-ltng		25	25																																					rip		1	1																													0
Unholy Garment	The Deceiver's Treasure	lea	Leather Armor	3	40	40	dgrn	dgrn						5	5000	2	res-all		75	75	light		11	11																																													ac%/lvl		500	500																					0
Stolen Boots of Thor	The Deceiver's Treasure	lbt	Leather Boots	3	40	40	dgrn	dgrn						5	5000	2	move3		25	25	regen		15	15																																													gethit-skill	53	5	30																					0
Silent Slippers	Secret Agenda	lbt	Leather Boots	3	100	75	blac	blac						5	5000		balance2		25	25	move3		50	50	regen-mana		75	75	ac%/time		100	100																																																													0
Vampire Wrap	Secret Agenda	lbl	Sash	3	100	75	blac	blac						5	5000		regen		-30	-30	lifesteal		25	25	ignore-ac		1	1	res-pois-len		100	100																																																													0
Painful Grips	Secret Agenda	ulg	Bramble Mitts	3	100	75	blac	blac						5	5000		hit-skill	76	10	10	att%		200	300	ass		4	4	regen		-30	-30																																																													0
Eternal Darkness	Secret Agenda	uui	Dusk Shroud	3	100	75	blac	blac						5	5000		regen		10	100	nofreeze		1	1	ac%/lvl		200	200	gold%		300	300																																																													0
Heaven's Fang	Secret Agenda	wrb	Wrist Sword	3	100	75	blac	blac						5	5000		ethereal		1	1	deadly		50	125	extra-ltng		50	125	pierce-ltng		50	125	dmg%		1	250	sock		1	1	manasteal		15	15																																																	0
Hell's Fury	Secret Agenda	7ar	Suwayyah	3	100	75	blac	blac						5	5000		ethereal		1	1	crush		50	125	extra-fire		50	125	pierce-fire		50	125	dmg%		1	250	sock		1	1	lifesteal		15	15																																																	0
Hydra's Apocalyptic Brand	Hydra's Choice Battlegear	am9	Ceremonial Pike	3	125	200	lred	lred						5	5000	2	ama		3	3	swing3		50	50	dmg%		400	450	att%		100	100	regen		15	15	extra-ltng		25	30	hit-skill	49	75	30									dmg%		100	100					str%		5	5																													0
Hydra's Iron Scales	Hydra's Choice Battlegear	uth	Lacquered Plate	3	125	200	lred	lred						5	5000	2	ac%		400	450	str/lvl		4	4	vit/lvl		4	4	res-all		25	25	regen		15	15	sock		3	3	ac		500	500																									aura	122	5	5																					0
Hydra's Vampiric Touch	Hydra's Choice Battlegear	uvg	Vampirebone Gloves	3	125	200	lred	lred						5	5000	2	skilltab	2	2	4	hit-skill	81	15	5	manasteal		7	9	lifesteal		5	7																					gethit-skill	40	10	20													all-stats		40	40																					0
Hydra's Cunning Mind	Hydra's Choice Battlegear	ci1	Coronet	3	125	200	lred	lred						5	5000	2	skilltab	0	2	2	dex		25	35	extra-ltng		45	55	str		25	35	regen		15	15	sock		2	2													extra-ltng		30	30					extra-ltng		30	30					oskill	Increased Speed	3	3																					0
Hydra's Spidersilk Binding	Hydra's Choice Battlegear	ulc	Spiderweb Sash	3	125	200	lred	lred						5	5000		slow		33	33	gethit-skill	17	4	20	dmg-cold	125	263	476	ac-miss		450	450	ac%		200	200																	hp%		20	20					dex%		15	15																													0
Gunners Death Beret	Gunners Death Suit	usk	Demonhead	3	125	180	blac	blac						5	5000		dmg%		66	66	nec		2	2	manasteal		5	5	lifesteal		2	2	cast2		30	30	res-all		11	11	sock		3	3																																																	0
Gunners Death Coat	Gunners Death Suit	6ck	Cloak	3	125	180	blac	blac						5	5000		ease		-50	-50	ac%		255	255	move2		50	50	swing2		50	50	hit-skill	121	10	20	res-fire		11	11	sock		4	4																																																	0
Gunners Death Ammy	Gunners Death Suit	amu	Amulet	3	125	180	blac	blac						5	5000		nec		1	1	str%		50	50	dex%		50	50	hp%		53	53	mana%		53	53	res-mag		11	11																																																					0
Gunners Death Stick	Gunners Death Suit	7yw	Ghost Wand	3	125	180	blac	blac						5	5000	2	dmg%		200	200	regen-mana		20	20	cast2		25	25	charged	247	20	20	crush		50	50	res-ltng		11	11	sock		2	2									lifesteal		10	10																																					0
Gunners Death Trophy	Gunners Death Suit	nea	Heirophant Trophy	3	125	180	blac	blac						5	5000		block		40	40	gethit-skill	81	10	1	regen		20	20	swing2		20	20	move2		20	20	sock		3	3																																																					0
Gunners Death Sneekers	Gunners Death Suit	ulb	Wyrmhide Boots	3	125	180	blac	blac						5	5000		nec		1	1	move2		40	40	regen		10	10	manasteal		5	5	lifesteal		5	5	sock		2	2																																																					0
Drew's Frosty Tiara	Drew's Mystical Elements	ci2	Tiara	3	250	250	cblu	cblu						5	50000	2	extra-cold		45	45	skilltab	5	3	3	manasteal		5	5	mana-kill		15	15	balance3		35	35	enr%		25	25	ac%		200	200	ethereal		1	1													nofreeze		1	1					enr%		30	30													extra-cold		50	50	pierce-cold		40	40	0
Drew's Flaming Touch	Drew's Mystical Elements	umg	Vambraces	3	250	250	cred	cred						5	50000	2	extra-fire		45	45	skilltab	3	3	3	lifesteal		5	5	heal-kill		15	15	cast3		20	20	vit%		10	10	ethereal		1	1																	regen		50	50	noheal		1	1									gethit-skill	Hydra	1	100					extra-fire		50	50	pierce-fire		40	40	0
Drew's Shocking Strap	Drew's Mystical Elements	zhb	War Belt	3	250	250	lyel	lyel						5	50000	2	extra-ltng		45	45	skilltab	4	3	3	light		5	5	def%/lvl	4			sor		2	2	ethereal		1	1																					cheap		15	15													death-skill	Nova	20	60					extra-ltng		50	50	pierce-ltng		40	40	0
Drew's Dark Protection	Drew's Mystical Elements	2ck	Cloak	3	250	250	blac	blac						5	50000	2	res-mag		40	40	res-pois		40	40	ac%/lvl	8			rip		1	1	cast2		20	20	hp%		10	10	abs-mag%		10	10	ethereal		1	1					cast2		20	20					str%		20	20					dex%		20	20	fade		1	1																	0
Drew's Holy Crystal	Drew's Mystical Elements	oba	Swirling Crystal	3	250	250	bwht	bwht						5	50000	2	dmg-cold	125	250	250	dmg-fire		50	250	dmg-ltng		50	250	sor		2	2	swing3		50	50	dmg%		261	359	ethereal		1	1																	att%		300	300					ignore-ac		1	1					freeze		5	25													0
Drew's Ghostly Plague	Drew's Mystical Elements	hbt	Totemic Boots	3	250	270	cgrn	cgrn						5	50000	2	extra-pois		45	45	move3		30	30	openwounds		50	50	death-skill	Poison Nova	50	50	ethereal		1	1																	res-pois-len		25	25					cheap		25	25																					extra-pois		50	50	pierce-pois		40	40	0
Eyes of Vern	Vern's Animalistic Nature	drd	Earth Spirit	3	108	108								5	5000		ac%		300	300	sock		3	3	skilltab	15	2	2	skill	228	5	5	dmg%		300	300																																																									0
Vern's Un-Bear-Able Might	Vern's Animalistic Nature	9gm	Martel-de-Fer	3	80	80								5	5000		skill	224	2	2	skilltab	16	5	5	sock		6	6	dmg%		300	300																																																													0
Vern's Pouch of the Elements	Vern's Animalistic Nature	zhb	War Belt	3	130	130								5	5000		skill	228	5	5	dmg%		300	300	skilltab	17	2	2	sock		2	2	hp		50	50	mana		150	150	ac%		300	300																																																	0
Vern's Shiny Mane	Vern's Animalistic Nature	utp	Guardian Armor	3	135	135								5	5000		ac%		300	300	ac%/lvl	12			res-all		50	50	sock		6	6																																																													0
Nauthis' Virulence	Nauthis' Fidelity	drb	Blood Spirit	3	205	205								5	5000	2	ac%		280	300	lifesteal		10	10	skilltab	16	3	3	skill	238	5	5																													move3		50	50																													0
Nauthis' Ambuscade	Nauthis' Fidelity	6hx	Colossus Crossbow	3	220	220								5	5000	2	swing3		90	90	dmg%		285	300	att%		85	85	att-skill	82	1	5																																					crush		75	75																					0
Nauthis' Ensanguined Graze	Nauthis' Fidelity	umg	Seethe Fang Gloves	3	210	210								5	5000	2	openwounds		15	15	skill	232	3	3	dex		30	30	ease		15	15																																																													0
Nauthis' Diuturnal Pelage	Nauthis' Fidelity	utu	Chained-Steel Mackinaw	3	225	225								5	5000	2	dru		2	2	ac%		350	375	ac%/lvl	12			dur%		500	500	res-all		45	45	red-dmg%		30	30	balance3		45	45																																																	0
Druid Manacle	Nauthis' Fidelity	rin	Ring	3	225	225								5	5000	2	dru		2	3	skilltab	15	1	2	dmg%		60	80	all-stats		20	20	manasteal		5	5	regen		100	100																																																					0
