Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 2 (N) Magic A	4	101	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 2 (N) Magic B	4	106	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 3 (N) Magic A	4	110	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 3 (N) Magic B	4	115	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 4 (N) Magic A	4	122	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 4 (N) Magic B	4	130	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (N) Magic A	4	137	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (N) Magic B	4	144	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (N) Magic C	4	151	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 1 (H) Magic A	4	158	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 1 (H) Magic B	4	166	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 2 (H) Magic A	4	170	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 2 (H) Magic B	4	175	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 3 (H) Magic A	4	180	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 3 (H) Magic B	4	185	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 4 (H) Magic A	4	190	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 4 (H) Magic B	4	192	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (H) Magic A	4	197	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (H) Magic B	4	199	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 5 (H) Magic C	4	204	1						tsc	4	isc	8	mp4	4	mp5	4																0
Act 1 Good	5	0	1						Jewelry A	10	Chipped Gem	10																				0
Act 2 Good	5	29	1						Jewelry B	40	Chipped Gem	24	Flawed Gem	8	Runes 1	3	Runes 2	3														0
Act 3 Good	5	43	1						Jewelry C	40	Chipped Gem	16	Flawed Gem	16	Runes 3	3	Runes 4	3														0
Act 4 Good	5	62	1						Jewelry C	100	Chipped Gem	28	Flawed Gem	56	Normal Gem	42	Runes 5	14	Runes 6	7												0
Act 5 Good	5	77	1						Jewelry C	100	Chipped Gem	12	Flawed Gem	16	Normal Gem	24	Flawless Gem	4	Runes 7	10												0
Act 1 (N) Good	5	91	1						Jewelry C	120	Chipped Gem	12	Flawed Gem	16	Normal Gem	28	Flawless Gem	14	Runes 8	14												0
Act 2 (N) Good	5	101	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 9	14												0
Act 3 (N) Good	5	110	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 10	14												0
Act 4 (N) Good	5	122	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 11	14												0
Act 5 (N) Good	5	137	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 12	14												0
Act 1 (H) Good	5	158	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 13	14												0
Act 2 (H) Good	5	173	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 14	14												0
Act 3 (H) Good	5	187	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 15	14												0
Act 4 (H) Good	5	197	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 16	14												0
Act 5 (H) Good	5	204	1						Jewelry C	120	Chipped Gem	8	Flawed Gem	20	Normal Gem	14	Flawless Gem	28	Runes 17	14												0
Act 1 Chest A	6	0	4					50	gld	30	Act 1 Junk	30	Act 1 Equip A	20	Act 1 Good	2																0
Act 1 Chest B	6	12	4					50	gld	30	Act 1 Junk	30	Act 1 Equip B	20	Act 1 Good	2																0
Act 1 Chest C	6	22	4					50	gld	30	Act 1 Junk	24	Act 2 Junk	6	Act 1 Equip C	15	Act 1 Good	2														0
Act 2 Chest A	6	29	4					50	gld	30	Act 2 Junk	30	Act 2 Equip A	20	Act 2 Good	2																0
Act 2 Chest B	6	36	4					50	gld	30	Act 2 Junk	30	Act 2 Equip B	20	Act 2 Good	2																0
Act 2 Chest C	6	43	4					50	gld	30	Act 2 Junk	24	Act 3 Junk	6	Act 2 Equip C	15	Act 2 Good	2														0
Act 3 Chest A	6	48	4					50	gld	30	Act 3 Junk	30	Act 3 Equip A	20	Act 3 Good	2																0
Act 3 Chest B	6	53	4					50	gld	30	Act 3 Junk	30	Act 3 Equip B	20	Act 3 Good	2																0
Act 3 Chest C	6	58	4					50	gld	30	Act 3 Junk	30	Act 3 Equip C	20	Act 3 Good	2																0
Act 4 Chest A	6	62	4					50	gld	30	Act 4 Junk	30	Act 4 Equip A	20	Act 4 Good	2																0
Act 4 Chest B	6	67	4					50	gld	30	Act 4 Junk	30	Act 4 Equip B	20	Act 4 Good	2																0
Act 4 Chest C	6	72	4					50	gld	30	Act 4 Junk	30	Act 4 Equip B	20	Act 4 Good	2																0
Act 5 Chest A	6	77	4					50	gld	30	Act 5 Junk	30	Act 5 Equip A	20	Act 5 Good	2																0
Act 5 Chest B	6	82	4					50	gld	30	Act 5 Junk	30	Act 5 Equip B	20	Act 5 Good	2																0
Act 5 Chest C	6	86	4					50	gld	30	Act 5 Junk	30	Act 5 Equip B	20	Act 5 Good	2																0
Act 1 (N) Chest A	6	91	4					50	gld	30	Act 1 (N) Junk	30	Act 1 (N) Equip A	20	Act 1 (N) Good	2																0
Act 1 (N) Chest B	6	96	4					50	gld	30	Act 1 (N) Junk	30	Act 1 (N) Equip B	20	Act 1 (N) Good	2																0
Act 1 (N) Chest C	6	101	4					50	gld	30	Act 1 (N) Junk	30	Act 1 (N) Equip B	20	Act 1 (N) Good	2																0
Act 2 (N) Chest A	6	106	4					50	gld	30	Act 2 (N) Junk	30	Act 2 (N) Equip A	20	Act 2 (N) Good	2																0
Act 2 (N) Chest B	6	110	4					50	gld	30	Act 2 (N) Junk	30	Act 2 (N) Equip B	20	Act 2 (N) Good	2																0
Act 2 (N) Chest C	6	115	4					50	gld	30	Act 2 (N) Junk	30	Act 2 (N) Equip B	20	Act 2 (N) Good	2																0
Act 3 (N) Chest A	6	120	4					50	gld	30	Act 3 (N) Junk	30	Act 3 (N) Equip A	20	Act 3 (N) Good	2																0
Act 3 (N) Chest B	6	125	4					50	gld	30	Act 3 (N) Junk	30	Act 3 (N) Equip B	20	Act 3 (N) Good	2																0
Act 3 (N) Chest C	6	130	4					50	gld	30	Act 3 (N) Junk	30	Act 3 (N) Equip B	20	Act 3 (N) Good	2																0
Act 4 (N) Chest A	6	134	4					50	gld	30	Act 4 (N) Junk	30	Act 4 (N) Equip A	20	Act 4 (N) Good	2																0
Act 4 (N) Chest B	6	139	4					50	gld	30	Act 4 (N) Junk	30	Act 4 (N) Equip B	20	Act 4 (N) Good	2																0
Act 4 (N) Chest C	6	144	4					50	gld	30	Act 4 (N) Junk	30	Act 4 (N) Equip C	20	Act 4 (N) Good	2																0
Act 5 (N) Chest A	6	149	4					50	gld	30	Act 5 (N) Junk	30	Act 5 (N) Equip A	20	Act 5 (N) Good	2																0
Act 5 (N) Chest B	6	154	4					50	gld	30	Act 5 (N) Junk	30	Act 5 (N) Equip B	20	Act 5 (N) Good	2																0
Act 5 (N) Chest C	6	158	4					50	gld	30	Act 5 (N) Junk	30	Act 5 (N) Equip B	20	Act 5 (N) Good	2																0
Act 1 (H) Chest A	6	163	4					50	gld	30	Act 1 (H) Junk	30	Act 1 (H) Equip A	20	Act 1 (H) Good	2																0
Act 1 (H) Chest B	6	168	4					50	gld	30	Act 1 (H) Junk	30	Act 1 (H) Equip B	20	Act 1 (H) Good	2																0
Act 1 (H) Chest C	6	170	4					50	gld	30	Act 1 (H) Junk	30	Act 1 (H) Equip B	20	Act 1 (H) Good	2																0
Act 2 (H) Chest A	6	173	4					50	gld	30	Act 2 (H) Junk	30	Act 2 (H) Equip A	20	Act 2 (H) Good	2																0
Act 2 (H) Chest B	6	178	4					50	gld	30	Act 2 (H) Junk	30	Act 2 (H) Equip B	20	Act 2 (H) Good	2																0
Act 2 (H) Chest C	6	180	4					50	gld	30	Act 2 (H) Junk	30	Act 2 (H) Equip B	20	Act 2 (H) Good	2																0
Act 3 (H) Chest A	6	182	4					50	gld	30	Act 3 (H) Junk	30	Act 3 (H) Equip A	20	Act 3 (H) Good	2																0
Act 3 (H) Chest B	6	187	4					50	gld	30	Act 3 (H) Junk	30	Act 3 (H) Equip B	20	Act 3 (H) Good	2																0
Act 3 (H) Chest C	6	190	4					50	gld	30	Act 3 (H) Junk	30	Act 3 (H) Equip B	20	Act 3 (H) Good	2																0
Act 4 (H) Chest A	6	192	4					50	gld	30	Act 4 (H) Junk	30	Act 4 (H) Equip A	20	Act 4 (H) Good	2																0
Act 4 (H) Chest B	6	194	4					50	gld	30	Act 4 (H) Junk	30	Act 4 (H) Equip B	20	Act 4 (H) Good	2																0
Act 4 (H) Chest C	6	197	4					50	gld	30	Act 4 (H) Junk	30	Act 4 (H) Equip B	20	Act 4 (H) Good	2																0
Act 5 (H) Chest A	6	199	4					50	gld	30	Act 5 (H) Junk	30	Act 5 (H) Equip A	20	Act 5 (H) Good	2																0
Act 5 (H) Chest B	6	202	4					50	gld	30	Act 5 (H) Junk	30	Act 5 (H) Equip B	20	Act 5 (H) Good	2																0
Act 5 (H) Chest C	6	204	4					50	gld	30	Act 5 (H) Junk	30	Act 5 (H) Equip B	20	Act 5 (H) Good	2																0
Act 1 H2H A	7	0	1					50	gld	42	Act 1 Equip A	32	Act 1 Junk	42	Act 1 Good	2																0
Act 1 H2H B	7	12	1					50	gld	42	Act 1 Equip B	32	Act 1 Junk	42	Act 1 Good	2																0
Act 1 H2H C	7	22	1					50	gld	42	Act 1 Equip C	32	Act 1 Junk	42	Act 1 Good	2																0
Act 2 H2H A	7	29	1					50	gld	42	Act 2 Equip A	32	Act 2 Junk	42	Act 2 Good	2																0
Act 2 H2H B	7	36	1					50	gld	42	Act 2 Equip B	32	Act 2 Junk	42	Act 2 Good	2																0
Act 2 H2H C	7	43	1					50	gld	42	Act 2 Equip C	32	Act 2 Junk	42	Act 3 Good	2																0
Act 3 H2H A	7	48	1					50	gld	42	Act 3 Equip A	32	Act 3 Junk	42	Act 3 Good	2																0
Act 3 H2H B	7	53	1					50	gld	42	Act 3 Equip B	32	Act 3 Junk	42	Act 3 Good	2																0
Act 3 H2H C	7	58	1					50	gld	42	Act 3 Equip C	32	Act 3 Junk	42	Act 3 Good	2																0
Act 4 H2H A	7	62	1					50	gld	42	Act 4 Equip A	32	Act 4 Junk	42	Act 4 Good	2																0
Act 4 H2H B	7	70	1					50	gld	42	Act 4 Equip B	32	Act 4 Junk	42	Act 4 Good	2																0
Act 5 H2H A	7	77	1					50	gld	42	Act 5 Equip A	32	Act 5 Junk	42	Act 5 Good	2																0
Act 5 H2H B	7	82	1					50	gld	42	Act 5 Equip B	32	Act 5 Junk	42	Act 5 Good	2																0
Act 5 H2H C	7	86	1					50	gld	42	Act 5 Equip C	32	Act 5 Junk	42	Act 5 Good	2																0
Act 1 (N) H2H A	7	91	1					50	gld	42	Act 1 (N) Equip A	32	Act 1 (N) Junk	42	Act 1 (N) Good	2																0
Act 1 (N) H2H B	7	96	1					50	gld	42	Act 1 (N) Equip B	32	Act 1 (N) Junk	42	Act 1 (N) Good	2																0
Act 1 (N) H2H C	7	98	1					50	gld	42	Act 1 (N) Equip B	32	Act 1 (N) Junk	42	Act 1 (N) Good	2																0
Act 2 (N) H2H A	7	101	1					50	gld	42	Act 2 (N) Equip A	32	Act 2 (N) Junk	42	Act 2 (N) Good	2																0
Act 2 (N) H2H B	7	106	1					50	gld	42	Act 2 (N) Equip B	32	Act 2 (N) Junk	42	Act 2 (N) Good	2																0
Act 2 (N) H2H C	7	108	1					50	gld	42	Act 2 (N) Equip B	32	Act 2 (N) Junk	42	Act 2 (N) Good	2																0
Act 3 (N) H2H A	7	110	1					50	gld	42	Act 3 (N) Equip A	32	Act 3 (N) Junk	42	Act 3 (N) Good	2																0
Act 3 (N) H2H B	7	115	1					50	gld	42	Act 3 (N) Equip B	32	Act 3 (N) Junk	42	Act 3 (N) Good	2																0
Act 3 (N) H2H C	7	120	1					50	gld	42	Act 3 (N) Equip B	32	Act 3 (N) Junk	42	Act 3 (N) Good	2																0
Act 4 (N) H2H A	7	122	1					50	gld	42	Act 4 (N) Equip A	32	Act 4 (N) Junk	42	Act 4 (N) Good	2																0
Act 4 (N) H2H B	7	130	1					50	gld	42	Act 4 (N) Equip B	32	Act 4 (N) Junk	42	Act 4 (N) Good	2																0
Act 5 (N) H2H A	7	137	1					50	gld	42	Act 5 (N) Equip A	32	Act 5 (N) Junk	42	Act 5 (N) Good	2																0
Act 5 (N) H2H B	7	144	1					50	gld	42	Act 5 (N) Equip B	32	Act 5 (N) Junk	42	Act 5 (N) Good	2																0
Act 5 (N) H2H C	7	149	1					50	gld	42	Act 5 (N) Equip C	32	Act 5 (N) Junk	42	Act 5 (N) Good	2																0
Act 1 (H) H2H A	7	151	1					50	gld	42	Act 1 (H) Equip A	32	Act 1 (H) Junk	42	Act 1 (H) Good	2																0
Act 1 (H) H2H B	7	158	1					50	gld	42	Act 1 (H) Equip B	32	Act 1 (H) Junk	42	Act 1 (H) Good	2																0
Act 1 (H) H2H C	7	163	1					50	gld	42	Act 1 (H) Equip B	32	Act 1 (H) Junk	42	Act 1 (H) Good	2																0
Act 2 (H) H2H A	7	166	1					50	gld	42	Act 2 (H) Equip A	32	Act 1 (H) Junk	42	Act 2 (H) Good	2																0
Act 2 (H) H2H B	7	170	1					50	gld	42	Act 2 (H) Equip B	32	Act 1 (H) Junk	42	Act 2 (H) Good	2																0
Act 2 (H) H2H C	7	175	1					50	gld	42	Act 2 (H) Equip B	32	Act 1 (H) Junk	42	Act 2 (H) Good	2																0
Act 3 (H) H2H A	7	178	1					50	gld	42	Act 3 (H) Equip A	32	Act 1 (H) Junk	42	Act 3 (H) Good	2																0
Act 3 (H) H2H B	7	182	1					50	gld	42	Act 3 (H) Equip B	32	Act 1 (H) Junk	42	Act 3 (H) Good	2																0
Act 3 (H) H2H C	7	185	1					50	gld	42	Act 3 (H) Equip B	32	Act 1 (H) Junk	42	Act 3 (H) Good	2																0
Act 4 (H) H2H A	7	190	1					50	gld	42	Act 4 (H) Equip A	32	Act 1 (H) Junk	42	Act 4 (H) Good	2																0
Act 4 (H) H2H B	7	192	1					50	gld	42	Act 4 (H) Equip B	32	Act 1 (H) Junk	42	Act 4 (H) Good	2																0
Act 5 (H) H2H A	7	197	1					50	gld	42	Act 5 (H) Equip A	32	Act 1 (H) Junk	42	Act 5 (H) Good	2																0
Act 5 (H) H2H B	7	199	1					50	gld	42	Act 5 (H) Equip B	32	Act 1 (H) Junk	42	Act 5 (H) Good	2																0
Act 5 (H) H2H C	7	204	1					50	gld	42	Act 5 (H) Equip C	32	Act 1 (H) Junk	42	Act 5 (H) Good	2																0
Act 1 Cast A	8	0	1					50	gld	36	Act 1 Equip A	30	Act 1 Junk	36	Act 1 Good	2	Act 1 Magic A	7														0
Act 1 Cast B	8	12	1					50	gld	36	Act 1 Equip B	30	Act 1 Junk	36	Act 1 Good	2	Act 1 Magic B	7														0
Act 1 Cast C	8	22	1					50	gld	36	Act 1 Equip C	30	Act 1 Junk	36	Act 1 Good	2	Act 1 Magic C	7														0
Act 2 Cast A	8	29	1					50	gld	36	Act 2 Equip A	30	Act 2 Junk	36	Act 2 Good	2	Act 2 Magic A	7														0
Act 2 Cast B	8	36	1					50	gld	36	Act 2 Equip B	30	Act 2 Junk	36	Act 2 Good	2	Act 2 Magic B	7														0
Act 2 Cast C	8	43	1					50	gld	36	Act 2 Equip C	30	Act 2 Junk	36	Act 3 Good	2	Act 2 Magic C	7														0
Act 3 Cast A	8	48	1					50	gld	36	Act 3 Equip A	30	Act 3 Junk	36	Act 3 Good	2	Act 3 Magic A	7														0
Act 3 Cast B	8	53	1					50	gld	36	Act 3 Equip B	30	Act 3 Junk	36	Act 3 Good	2	Act 3 Magic B	7														0
Act 3 Cast C	8	58	1					50	gld	36	Act 3 Equip C	30	Act 3 Junk	36	Act 3 Good	2	Act 3 Magic C	7														0
Act 4 Cast A	8	62	1					50	gld	36	Act 4 Equip A	30	Act 4 Junk	36	Act 4 Good	2	Act 4 Magic A	7														0
Act 4 Cast B	8	70	1					50	gld	36	Act 4 Equip B	30	Act 4 Junk	36	Act 4 Good	2	Act 4 Magic B	7														0
Act 5 Cast A	8	77	1					50	gld	36	Act 5 Equip A	30	Act 5 Junk	36	Act 5 Good	2	Act 5 Magic A	7														0
Act 5 Cast B	8	82	1					50	gld	36	Act 5 Equip B	30	Act 5 Junk	36	Act 5 Good	2	Act 5 Magic B	7														0
Act 5 Cast C	8	86	1					50	gld	36	Act 5 Equip C	30	Act 5 Junk	36	Act 5 Good	2	Act 5 Magic C	7														0
Act 1 (N) Cast A	8	91	1					50	gld	36	Act 1 (N) Equip A	30	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Magic A	7														0
Act 1 (N) Cast B	8	96	1					50	gld	36	Act 1 (N) Equip B	30	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 1 (N) Cast C	8	98	1					50	gld	36	Act 1 (N) Equip B	30	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 2 (N) Cast A	8	101	1					50	gld	36	Act 2 (N) Equip A	30	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Magic A	7														0
Act 2 (N) Cast B	8	106	1					50	gld	36	Act 2 (N) Equip B	30	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 2 (N) Cast C	8	108	1					50	gld	36	Act 2 (N) Equip B	30	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 3 (N) Cast A	8	110	1					50	gld	36	Act 3 (N) Equip A	30	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Magic A	7														0
Act 3 (N) Cast B	8	115	1					50	gld	36	Act 3 (N) Equip B	30	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 3 (N) Cast C	8	120	1					50	gld	36	Act 3 (N) Equip B	30	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 4 (N) Cast A	8	122	1					50	gld	36	Act 4 (N) Equip A	30	Act 4 (N) Junk	36	Act 4 (N) Good	2	Act 4 (N) Magic A	7														0
Act 4 (N) Cast B	8	130	1					50	gld	36	Act 4 (N) Equip B	30	Act 4 (N) Junk	36	Act 4 (N) Good	2	Act 4 (N) Magic B	7														0
Act 5 (N) Cast A	8	137	1					50	gld	36	Act 5 (N) Equip A	30	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Magic A	7														0
Act 5 (N) Cast B	8	144	1					50	gld	36	Act 5 (N) Equip B	30	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 5 (N) Cast C	8	149	1					50	gld	36	Act 5 (N) Equip C	30	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 1 (H) Cast A	8	151	1					50	gld	36	Act 1 (H) Equip A	30	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Magic A	7														0
Act 1 (H) Cast B	8	158	1					50	gld	36	Act 1 (H) Equip B	30	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 1 (H) Cast C	8	163	1					50	gld	36	Act 1 (H) Equip B	30	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 2 (H) Cast A	8	166	1					50	gld	36	Act 2 (H) Equip A	30	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Magic A	7														0
Act 2 (H) Cast B	8	170	1					50	gld	36	Act 2 (H) Equip B	30	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 2 (H) Cast C	8	173	1					50	gld	36	Act 2 (H) Equip B	30	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 3 (H) Cast A	8	178	1					50	gld	36	Act 3 (H) Equip A	30	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Magic A	7														0
Act 3 (H) Cast B	8	180	1					50	gld	36	Act 3 (H) Equip B	30	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 3 (H) Cast C	8	185	1					50	gld	36	Act 3 (H) Equip B	30	Act 1 (H) Junk	36	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 4 (H) Cast A	8	187	1					50	gld	36	Act 4 (H) Equip A	30	Act 1 (H) Junk	36	Act 4 (H) Good	2	Act 4 (H) Magic A	7														0
Act 4 (H) Cast B	8	192	1					50	gld	36	Act 4 (H) Equip B	30	Act 1 (H) Junk	36	Act 4 (H) Good	2	Act 4 (H) Magic B	7														0
Act 5 (H) Cast A	8	194	1					50	gld	36	Act 5 (H) Equip A	30	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Magic A	7														0
Act 5 (H) Cast B	8	199	1					50	gld	36	Act 5 (H) Equip B	30	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
Act 5 (H) Cast C	8	204	1					50	gld	36	Act 5 (H) Equip C	30	Act 1 (H) Junk	36	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
Act 1 Miss A	9	0	1					50	gld	36	Act 1 Equip A	26	Act 1 Junk	36	Act 1 Good	2	Act 1 Bow A	6	Ammo	3												0
Act 1 Miss B	9	12	1					50	gld	36	Act 1 Equip B	26	Act 1 Junk	36	Act 1 Good	2	Act 1 Bow B	6	Ammo	3												0
Act 1 Miss C	9	22	1					50	gld	36	Act 1 Equip C	26	Act 1 Junk	36	Act 1 Good	2	Act 1 Bow C	6	Ammo	3												0
Act 2 Miss A	9	29	1					50	gld	36	Act 2 Equip A	26	Act 2 Junk	36	Act 2 Good	2	Act 2 Bow A	6	Ammo	3												0
Act 2 Miss B	9	36	1					50	gld	36	Act 2 Equip B	26	Act 2 Junk	36	Act 2 Good	2	Act 2 Bow B	6	Ammo	3												0
Act 2 Miss C	9	43	1					50	gld	36	Act 2 Equip C	26	Act 2 Junk	36	Act 3 Good	2	Act 2 Bow C	6	Ammo	3												0
Act 3 Miss A	9	48	1					50	gld	36	Act 3 Equip A	26	Act 3 Junk	36	Act 3 Good	2	Act 3 Bow A	6	Ammo	3												0
Act 3 Miss B	9	53	1					50	gld	36	Act 3 Equip B	26	Act 3 Junk	36	Act 3 Good	2	Act 3 Bow B	6	Ammo	3												0
Act 3 Miss C	9	58	1					50	gld	36	Act 3 Equip C	26	Act 3 Junk	36	Act 3 Good	2	Act 3 Bow C	6	Ammo	3												0
Act 4 Miss A	9	62	1					50	gld	36	Act 4 Equip A	26	Act 4 Junk	36	Act 4 Good	2	Act 4 Bow A	6	Ammo	3												0
Act 4 Miss B	9	70	1					50	gld	36	Act 4 Equip B	26	Act 4 Junk	36	Act 4 Good	2	Act 4 Bow B	6	Ammo	3												0
Act 5 Miss A	9	77	1					50	gld	36	Act 5 Equip A	26	Act 5 Junk	36	Act 5 Good	2	Act 5 Bow A	6	Ammo	3												0
Act 5 Miss B	9	82	1					50	gld	36	Act 5 Equip B	26	Act 5 Junk	36	Act 5 Good	2	Act 5 Bow B	6	Ammo	3												0
Act 5 Miss C	9	86	1					50	gld	36	Act 5 Equip C	26	Act 5 Junk	36	Act 5 Good	2	Act 5 Bow B	6	Ammo	3												0
Act 1 (N) Miss A	9	91	1					50	gld	36	Act 1 (N) Equip A	26	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3												0
Act 1 (N) Miss B	9	96	1					50	gld	36	Act 1 (N) Equip B	26	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3												0
Act 1 (N) Miss C	9	98	1					50	gld	36	Act 1 (N) Equip B	26	Act 1 (N) Junk	36	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3												0
Act 2 (N) Miss A	9	101	1					50	gld	36	Act 2 (N) Equip A	26	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3												0
Act 2 (N) Miss B	9	106	1					50	gld	36	Act 2 (N) Equip B	26	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3												0
Act 2 (N) Miss C	9	108	1					50	gld	36	Act 2 (N) Equip B	26	Act 2 (N) Junk	36	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3												0
Act 3 (N) Miss A	9	110	1					50	gld	36	Act 3 (N) Equip A	26	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3												0
Act 3 (N) Miss B	9	115	1					50	gld	36	Act 3 (N) Equip B	26	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3												0
Act 3 (N) Miss C	9	120	1					50	gld	36	Act 3 (N) Equip B	26	Act 3 (N) Junk	36	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3												0
Act 4 (N) Miss A	9	122	1					50	gld	36	Act 4 (N) Equip A	26	Act 4 (N) Junk	36	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3												0
Act 4 (N) Miss B	9	130	1					50	gld	36	Act 4 (N) Equip B	26	Act 4 (N) Junk	36	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3												0
Act 5 (N) Miss A	9	137	1					50	gld	36	Act 5 (N) Equip A	26	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3												0
Act 5 (N) Miss B	9	144	1					50	gld	36	Act 5 (N) Equip B	26	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3												0
Act 5 (N) Miss C	9	149	1					50	gld	36	Act 5 (N) Equip C	26	Act 5 (N) Junk	36	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3												0
Act 1 (H) Miss A	9	151	1					50	gld	36	Act 1 (H) Equip A	26	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3												0
Act 1 (H) Miss B	9	158	1					50	gld	36	Act 1 (H) Equip B	26	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3												0
Act 1 (H) Miss C	9	163	1					50	gld	36	Act 1 (H) Equip B	26	Act 1 (H) Junk	36	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3												0
Act 2 (H) Miss A	9	166	1					50	gld	36	Act 2 (H) Equip A	26	Act 1 (H) Junk	36	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3												0
