description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Fang	1			100					2	"na5,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na5,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na5,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na6,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na6,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na6,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na6,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na6,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na6,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na6,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Eye	1			100					2	"na7,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"na7,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"na7,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"na7,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"na7,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"na7,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"na7,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	eyz					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	hrn					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	tal					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	flg					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	fng					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	qll					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"amu,uni"	"tch,qty=2"	spe					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	eyz					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	hrn					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	tal					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	flg					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	fng					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	qll					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"armo,uni"	"tch,qty=2"	spe					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	eyz					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	hrn					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	tal					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	flg					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	fng					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	qll					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"weap,uni"	"tch,qty=2"	spe					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	eyz					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	hrn					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	tal					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	flg					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	fng					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	qll					"usetype,uni"	255	1	255																																																																																				0
change unique	1			100					4	"rin,uni"	"tch,qty=2"	spe					"usetype,uni"	255	1	255																																																																																				0
Eye	1			100					2	"amu,mag"	eyz						useitem	255	1	255	swing1		0	5	5																																																																															0
Horn	1			100					2	"amu,mag"	hrn						useitem	255	1	255	mana		0	5	5																																																																															0
Tail	1			100					2	"amu,mag"	tal						useitem	255	1	255	att		0	30	30																																																																															0
Flag	1			100					2	"amu,mag"	flg						useitem	255	1	255	addxp		0	2	2																																																																															0
Fang	1			100					2	"amu,mag"	fng						useitem	255	1	255	dmg%		0	2	2																																																																															0
Quill	1			100					2	"amu,mag"	qll						useitem	255	1	255	ac%		0	2	2																																																																															0
Spleen	1			100					2	"amu,mag"	spe						useitem	255	1	255	hp		0	5	5																																																																															0
Upgrade weapon 1	1			100					2	"weap,bas"	tch						"useitem,mod,exc"																																																																																							0
Upgrade weapon 2	1			100					2	"weap,exc"	hrt						"useitem,mod,eli"																																																																																							0
Upgrade weapon 3	1			100					2	"weap,mag,bas"	tch						"useitem,mod,exc"																																																																																							0
Upgrade weapon 4	1			100					2	"weap,mag,exc"	hrt						"useitem,mod,eli"																																																																																							0
Upgrade armor 1	1			100					2	"armo,bas"	tch						"useitem,mod,exc"																																																																																							0
Upgrade armor 2	1			100					2	"armo,exc"	hrt						"useitem,mod,eli"																																																																																							0
Upgrade armor 3	1			100					2	"armo,mag,bas"	tch						"useitem,mod,exc"																																																																																							0
Upgrade armor 4	1			100					2	"armo,mag,exc"	hrt						"useitem,mod,eli"																																																																																							0
r09 + weapon + chipped gem -> repair + recharge	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
r08 + armor + flawed gem -> repair + recharge	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
"3 chipped gems + 1 magic weapon -> socketed, magic weapon"	1			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
normal socket1	1			100					2	"weap,nor"	gpv						useitem	255	1	255	sock		1																																																																																	0
normal socket2	1			100					2	"weap,nor"	gpr						useitem	255	1	255	sock		1																																																																																	0
normal socket3	1			100					2	"weap,nor"	gpb						useitem	255	1	255	sock		1																																																																																	0
normal socket4	1			100					2	"weap,nor"	gpy						useitem	255	1	255	sock		1																																																																																	0
normal socket5	1			100					2	"weap,nor"	gpg						useitem	255	1	255	sock		1																																																																																	0
normal socket6	1			100					2	"weap,nor"	gpw						useitem	255	1	255	sock		1																																																																																	0
normal socket7	1			100					2	"weap,nor"	skz						useitem	255	1	255	sock		1																																																																																	0
normal socket8	1			100					3	"weap,nor"	"skz,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket9	1			100					4	"weap,nor"	"skz,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket10	1			100					5	"weap,nor"	"skz,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket11	1			100					6	"weap,nor"	"skz,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket12	1			100					7	"weap,nor"	"skz,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket13	1			100					3	"weap,nor"	"gpw,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket14	1			100					4	"weap,nor"	"gpw,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket15	1			100					5	"weap,nor"	"gpw,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket16	1			100					6	"weap,nor"	"gpw,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket17	1			100					7	"weap,nor"	"gpw,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket18	1			100					3	"weap,nor"	"gpg,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket19	1			100					4	"weap,nor"	"gpg,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket20	1			100					5	"weap,nor"	"gpg,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket21	1			100					6	"weap,nor"	"gpg,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket22	1			100					7	"weap,nor"	"gpg,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket23	1			100					3	"weap,nor"	"gpy,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket24	1			100					4	"weap,nor"	"gpy,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket25	1			100					5	"weap,nor"	"gpy,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket26	1			100					6	"weap,nor"	"gpy,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket27	1			100					7	"weap,nor"	"gpy,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket28	1			100					3	"weap,nor"	"gpb,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket29	1			100					4	"weap,nor"	"gpb,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket30	1			100					5	"weap,nor"	"gpb,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket31	1			100					6	"weap,nor"	"gpb,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket32	1			100					7	"weap,nor"	"gpb,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket33	1			100					3	"weap,nor"	"gpr,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket34	1			100					4	"weap,nor"	"gpr,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket35	1			100					5	"weap,nor"	"gpr,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket36	1			100					6	"weap,nor"	"gpr,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket37	1			100					7	"weap,nor"	"gpr,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket38	1			100					3	"weap,nor"	"gpv,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket39	1			100					4	"weap,nor"	"gpv,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket40	1			100					5	"weap,nor"	"gpv,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket41	1			100					6	"weap,nor"	"gpv,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket42	1			100					7	"weap,nor"	"gpv,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket43	1			100					2	"armo,nor"	gpv						useitem	255	1	255	sock		1																																																																																	0
normal socket44	1			100					2	"armo,nor"	gpr						useitem	255	1	255	sock		1																																																																																	0
normal socket45	1			100					2	"armo,nor"	gpb						useitem	255	1	255	sock		1																																																																																	0
normal socket46	1			100					2	"armo,nor"	gpy						useitem	255	1	255	sock		1																																																																																	0
normal socket47	1			100					2	"armo,nor"	gpg						useitem	255	1	255	sock		1																																																																																	0
normal socket48	1			100					2	"armo,nor"	gpw						useitem	255	1	255	sock		1																																																																																	0
normal socket49	1			100					2	"armo,nor"	skz						useitem	255	1	255	sock		1																																																																																	0
normal socket50	1			100					3	"armo,nor"	"skz,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket51	1			100					4	"armo,nor"	"skz,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket52	1			100					5	"armo,nor"	"skz,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket53	1			100					6	"armo,nor"	"skz,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket54	1			100					7	"armo,nor"	"skz,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket55	1			100					3	"armo,nor"	"gpw,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket56	1			100					4	"armo,nor"	"gpw,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket57	1			100					5	"armo,nor"	"gpw,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket58	1			100					6	"armo,nor"	"gpw,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket59	1			100					7	"armo,nor"	"gpw,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket60	1			100					3	"armo,nor"	"gpg,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket61	1			100					4	"armo,nor"	"gpg,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket62	1			100					5	"armo,nor"	"gpg,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket63	1			100					6	"armo,nor"	"gpg,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket64	1			100					7	"armo,nor"	"gpg,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket65	1			100					3	"armo,nor"	"gpy,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket66	1			100					4	"armo,nor"	"gpy,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket67	1			100					5	"armo,nor"	"gpy,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket68	1			100					6	"armo,nor"	"gpy,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket69	1			100					7	"armo,nor"	"gpy,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket70	1			100					3	"armo,nor"	"gpb,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket71	1			100					4	"armo,nor"	"gpb,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket72	1			100					5	"armo,nor"	"gpb,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket73	1			100					6	"armo,nor"	"gpb,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket74	1			100					7	"armo,nor"	"gpb,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket75	1			100					3	"armo,nor"	"gpr,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket76	1			100					4	"armo,nor"	"gpr,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket77	1			100					5	"armo,nor"	"gpr,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket78	1			100					6	"armo,nor"	"gpr,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket79	1			100					7	"armo,nor"	"gpr,qty=6"						useitem	255	1	255	sock		6																																																																																	0
normal socket80	1			100					3	"armo,nor"	"gpv,qty=2"						useitem	255	1	255	sock		2																																																																																	0
normal socket81	1			100					4	"armo,nor"	"gpv,qty=3"						useitem	255	1	255	sock		3																																																																																	0
normal socket82	1			100					5	"armo,nor"	"gpv,qty=4"						useitem	255	1	255	sock		4																																																																																	0
normal socket83	1			100					6	"armo,nor"	"gpv,qty=5"						useitem	255	1	255	sock		5																																																																																	0
normal socket84	1			100					7	"armo,nor"	"gpv,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket1	1			100					2	"weap,mag"	gpv						useitem	255	1	255	sock		1																																																																																	0
magic socket2	1			100					2	"weap,mag"	gpr						useitem	255	1	255	sock		1																																																																																	0
magic socket3	1			100					2	"weap,mag"	gpb						useitem	255	1	255	sock		1																																																																																	0
magic socket4	1			100					2	"weap,mag"	gpy						useitem	255	1	255	sock		1																																																																																	0
magic socket5	1			100					2	"weap,mag"	gpg						useitem	255	1	255	sock		1																																																																																	0
magic socket6	1			100					2	"weap,mag"	gpw						useitem	255	1	255	sock		1																																																																																	0
magic socket7	1			100					2	"weap,mag"	skz						useitem	255	1	255	sock		1																																																																																	0
magic socket8	1			100					3	"weap,mag"	"skz,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket9	1			100					4	"weap,mag"	"skz,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket10	1			100					5	"weap,mag"	"skz,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket11	1			100					6	"weap,mag"	"skz,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket12	1			100					7	"weap,mag"	"skz,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket13	1			100					3	"weap,mag"	"gpw,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket14	1			100					4	"weap,mag"	"gpw,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket15	1			100					5	"weap,mag"	"gpw,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket16	1			100					6	"weap,mag"	"gpw,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket17	1			100					7	"weap,mag"	"gpw,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket18	1			100					3	"weap,mag"	"gpg,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket19	1			100					4	"weap,mag"	"gpg,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket20	1			100					5	"weap,mag"	"gpg,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket21	1			100					6	"weap,mag"	"gpg,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket22	1			100					7	"weap,mag"	"gpg,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket23	1			100					3	"weap,mag"	"gpy,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket24	1			100					4	"weap,mag"	"gpy,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket25	1			100					5	"weap,mag"	"gpy,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket26	1			100					6	"weap,mag"	"gpy,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket27	1			100					7	"weap,mag"	"gpy,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket28	1			100					3	"weap,mag"	"gpb,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket29	1			100					4	"weap,mag"	"gpb,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket30	1			100					5	"weap,mag"	"gpb,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket31	1			100					6	"weap,mag"	"gpb,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket32	1			100					7	"weap,mag"	"gpb,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket33	1			100					3	"weap,mag"	"gpr,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket34	1			100					4	"weap,mag"	"gpr,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket35	1			100					5	"weap,mag"	"gpr,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket36	1			100					6	"weap,mag"	"gpr,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket37	1			100					7	"weap,mag"	"gpr,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket38	1			100					3	"weap,mag"	"gpv,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket39	1			100					4	"weap,mag"	"gpv,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket40	1			100					5	"weap,mag"	"gpv,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket41	1			100					6	"weap,mag"	"gpv,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket42	1			100					7	"weap,mag"	"gpv,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket43	1			100					2	"armo,mag"	gpv						useitem	255	1	255	sock		1																																																																																	0
magic socket44	1			100					2	"armo,mag"	gpr						useitem	255	1	255	sock		1																																																																																	0
magic socket45	1			100					2	"armo,mag"	gpb						useitem	255	1	255	sock		1																																																																																	0
magic socket46	1			100					2	"armo,mag"	gpy						useitem	255	1	255	sock		1																																																																																	0
magic socket47	1			100					2	"armo,mag"	gpg						useitem	255	1	255	sock		1																																																																																	0
magic socket48	1			100					2	"armo,mag"	gpw						useitem	255	1	255	sock		1																																																																																	0
magic socket49	1			100					2	"armo,mag"	skz						useitem	255	1	255	sock		1																																																																																	0
magic socket50	1			100					3	"armo,mag"	"skz,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket51	1			100					4	"armo,mag"	"skz,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket52	1			100					5	"armo,mag"	"skz,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket53	1			100					6	"armo,mag"	"skz,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket54	1			100					7	"armo,mag"	"skz,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket55	1			100					3	"armo,mag"	"gpw,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket56	1			100					4	"armo,mag"	"gpw,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket57	1			100					5	"armo,mag"	"gpw,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket58	1			100					6	"armo,mag"	"gpw,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket59	1			100					7	"armo,mag"	"gpw,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket60	1			100					3	"armo,mag"	"gpg,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket61	1			100					4	"armo,mag"	"gpg,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket62	1			100					5	"armo,mag"	"gpg,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket63	1			100					6	"armo,mag"	"gpg,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket64	1			100					7	"armo,mag"	"gpg,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket65	1			100					3	"armo,mag"	"gpy,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket66	1			100					4	"armo,mag"	"gpy,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket67	1			100					5	"armo,mag"	"gpy,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket68	1			100					6	"armo,mag"	"gpy,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket69	1			100					7	"armo,mag"	"gpy,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket70	1			100					3	"armo,mag"	"gpb,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket71	1			100					4	"armo,mag"	"gpb,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket72	1			100					5	"armo,mag"	"gpb,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket73	1			100					6	"armo,mag"	"gpb,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket74	1			100					7	"armo,mag"	"gpb,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket75	1			100					3	"armo,mag"	"gpr,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket76	1			100					4	"armo,mag"	"gpr,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket77	1			100					5	"armo,mag"	"gpr,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket78	1			100					6	"armo,mag"	"gpr,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket79	1			100					7	"armo,mag"	"gpr,qty=6"						useitem	255	1	255	sock		6																																																																																	0
magic socket80	1			100					3	"armo,mag"	"gpv,qty=2"						useitem	255	1	255	sock		2																																																																																	0
magic socket81	1			100					4	"armo,mag"	"gpv,qty=3"						useitem	255	1	255	sock		3																																																																																	0
magic socket82	1			100					5	"armo,mag"	"gpv,qty=4"						useitem	255	1	255	sock		4																																																																																	0
magic socket83	1			100					6	"armo,mag"	"gpv,qty=5"						useitem	255	1	255	sock		5																																																																																	0
magic socket84	1			100					7	"armo,mag"	"gpv,qty=6"						useitem	255	1	255	sock		6																																																																																	0
remove gems1	1			100					3	"any,sock"	jaw	gm1					"useitem,rem"	255	1	255																																																																																				0
remove gems2	1			100					3	"any,sock"	jaw	bm1					"useitem,rem"	255	1	255																																																																																				0
remove gems3	1			100					3	"any,sock"	jaw	rm1					"useitem,rem"	255	1	255																																																																																				0
remove gems4	1			100					3	"any,sock"	jaw	ym1					"useitem,rem"	255	1	255																																																																																				0
remove gems5	1			100					3	"any,sock"	brz	gm1					"useitem,rem"	255	1	255																																																																																				0
remove gems6	1			100					3	"any,sock"	brz	bm1					"useitem,rem"	255	1	255																																																																																				0
remove gems7	1			100					3	"any,sock"	brz	rm1					"useitem,rem"	255	1	255																																																																																				0
remove gems8	1			100					3	"any,sock"	brz	ym1					"useitem,rem"	255	1	255																																																																																				0
marble rune stone	1			100					4	rm1	gm1	bm1	ym1				mrs	255	1	255																																																																																				0
MRS + Green stone	1			100					2	mrs	gm1						useitem	255	1	255	extra-pois			2	2																																																																															0
MRS + Blue stone	1			100					2	mrs	bm1						useitem	255	1	255	extra-cold			2	2																																																																															0
MRS + Yellow stone	1			100					2	mrs	ym1						useitem	255	1	255	extra-ltng			2	2																																																																															0
MRS + Red stone	1			100					2	mrs	rm1						useitem	255	1	255	extra-fire			2	2																																																																															0
MRS + bbg	1			100					4	mrs	"bm1,qty=2"	gm1					useitem	255	1	255	sor			1	1	levelreq			3	3																																																																										0
MRS + ggy	1			100					4	mrs	"gm1,qty=2"	ym1					useitem	255	1	255	ama			1	1	levelreq			3	3																																																																										0
MRS + gbr	1			100					4	mrs	rm1	bm1	gm1				useitem				bar			1	1	levelreq			3	3																																																																										0
MRS + yyb	1			100					4	mrs	"ym1,qty=2"	bm1					useitem				nec			1	1	levelreq			3	3																																																																										0
MRS + rry	1			100					4	mrs	"rm1,qty=2"	ym1					useitem				ass			1	1	levelreq			3	3																																																																										0
MRS + rby	1			100					4	mrs	rm1	bm1	ym1				useitem				dru			1	1	levelreq			3	3																																																																										0
MRS + ygb	1			100					4	mrs	ym1	gm1	bm1				useitem				pal			1	1	levelreq			3	3																																																																										0
MRS + elem orb	1			100					2	mrs	zo1						useitem				dmg-elem		8	5	5	levelreq			2	2																																																																										0
MRS + fortify orb	1			100					2	mrs	zo2						useitem				ac%			5	5	levelreq			2	2																																																																										0
MRS + power orb	1			100					2	mrs	zo3						useitem				all-stats			5	5	levelreq			2	2																																																																										0
MRS + price orb	1			100					2	mrs	zo4						useitem				cheap			2	2	levelreq			2	2																																																																										0
MRS + exp orb	1			100					2	mrs	zo5						useitem				addxp			2	2	levelreq			2	2																																																																										0
elem orb	1			100					2	gm1	bm1						zo1				dmg-elem		8	10	10																																																																															0
fortify orb	1			100					2	bm1	ym1						zo2				ac%			50	50																																																																															0
