Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
mosquito4	117	mosquito1		3	BloodWing	mosquito4		mosquito	Mosquito	drains mana and stamina	MO	1													2	3		8	17	1	92	192	306	mosquito	mosquito	10	15	14	13										40	50	55	40	50	60	5	5	5																			1	1								1				1	1									Mosquito	seq_mosquitoskill	1																						100	75	50	-50	-40	-33						0	0	0	0	9	0	84	0	0	0	46	0	168	2				36	72	144	5	425	2169	128	194	63	321	368	0	0	0				638	3254	143	239	95	482	540	0	0	0				1190	6073	143	432	176	899	720	0	0	0				A1	stam	90	500	562		90	500	600		90	500	600																														Swarm 2	Act 3 Champ B	Act 3 Unique B		Swarm 2 (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		Swarm 2 (H)	Act 3 (H) Champ B	Act 3 (H) Unique B								0
willowisp1	118	willowisp1	willowisp2	0	Gloam	willowisp1		willowisp	WillOWisp	drains mana	WW	1	1												1	2		21	21	1	81	181	288	willowisp	willowisp	10	15	14	13				40	50	60	70	70	70	50	50	50																						willowisplightningbolt			1	1					1			1				1	1									Chain Lightning	SC	1																									-50	-33	0	40			70		0	17	0	0	28	0	0	84	0	0	140	0	0	2				32	63	126	5	893	1763	128	194	132	261	376	0	0	0				1340	2645	173	383	198	392	720	0	0	0				2500	4936	173	691	370	731	960	0	0	0				A1	mana	40	14	64		40	100	200		40	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 3 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
willowisp2	119	willowisp1	willowisp3	1	SwampGhost	willowisp2		willowisp	WillOWisp	drains mana	WW	1	1												1	3		21	21	1	89	192	292	willowisp	willowisp	10	15	14	13				50	60	65	80	80	80	40	40	40																						willowisplightningbolt			1	1					1			1				1	1									Chain Lightning	SC	2																									-50	-33	0	50			80		0	20	0	0	29	0	0	98	0	0	147	0	0	2				35	69	138	5	893	1743	128	194	132	258	368	0	0	0				1340	2615	173	383	198	387	720	0	0	0				2500	4880	173	691	370	722	960	0	0	0				A1	mana	60	13	66		60	100	200		60	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 3 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
willowisp3	120	willowisp1	willowisp4	2	BurningSoul	willowisp3		willowisp	WillOWisp	drains mana	WW	1	1												2	3		21	21	1	100	203	299	willowisp	willowisp	10	15	14	13				60	70	70	85	85	85	35	35	35																						willowisplightningbolt			1	1					1			1				1	1									Chain Lightning	SC	3																									-50	-33	0	60			85		0	22	0	0	31	0	0	112	0	0	154	0	0	2				39	78	156	5	912	1743	126	203	135	258	372	0	0	0				1368	2615	173	383	203	387	720	0	0	0				2554	4880	173	691	378	722	960	0	0	0				A1	mana	80	17	70		80	100	200		80	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 4 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 4 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 4 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
willowisp4	121	willowisp1	willowisp5	3	BlackSoul	willowisp4		willowisp	WillOWisp	drains mana	WW	1	1												2	4		21	21	1	107	211	306	willowisp	willowisp	10	15	14	13				70	70	75	90	90	90	30	30	30																						willowisplightningbolt			1	1					1			1				1	1									Chain Lightning	SC	4																									-50	-33	0	70			100		0	25	0	0	32	0	0	126	0	0	161	0	0	2				42	84	168	5	893	1763	126	215	132	261	372	0	0	0				1340	2645	173	383	198	392	720	0	0	0				2500	4936	173	691	370	731	960	0	0	0				A1	mana	90	16	72		90	100	200		90	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 4 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 4 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 4 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
arach1	122	arach1	arach2	0	Arach	arach1		arach	Arach		SP	1													1	2		8	8	1	43	151	263	arach	arach	10	15	14	13				45	55	60	33	33	33	15	20	25	8	8	8	25	25	25																			1	1												1	1							1		SpiderLay	A2	1																						100	75	50	-50	-40	-25						0	14	0	31	0	0	35	70	0	154	0	0	70	3				18	36	72	5	3144	3893	126	299	465	576	368	0	0	0				4716	5840	203	352	698	864	600	0	0	0				8803	10900	203	634	1302	1613	800	0	0	0																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
arach2	123	arach1	arach3	1	SandFisher	arach2		arach	Arach		SP	1													2	2		10	10	1	58	164	270	arach	arach	10	15	14	13				55	65	70	40	40	40	15	20	25	8	10	10	30	30	30																			1	1												1	1							1		SpiderLay	A2	2																						100	75	50	-50	-40	-25						0	14	0	0	29	0	39	70	0	0	147	0	77	3				24	48	96	5	3062	3873	126	296	453	573	376	0	0	0				4593	5810	203	352	680	860	600	0	0	0				8574	10844	203	634	1268	1604	800	0	0	0																																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
arach3	124	arach1	arach4	2	PoisonSpinner	arach3		arach	Arach		SP	1													2	3		11	11	1	81	178	281	arach	arach	10	15	14	13				65	75	80	45	45	45	20	25	30	8	12	12	35	35	35																			1	1												1	1							1		SpiderLay	A2	3																						100	75	50	-50	-40	-25						0	14	0	0	0	0	77	70	0	0	0	0	154	3				32	63	126	5	3062	3873	128	296	453	573	376	0	0	0				4593	5810	203	352	680	860	600	0	0	0				8574	10844	203	634	1268	1604	800	0	0	0				A1	pois	33	21	35	1200	33	40	100	1200	33	40	100	1200																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
arach4	125	arach1	arach5	3	FlameSpider	arach4		arach	Arach		SP	1													3	3		11	13	1	84	181	284	arach	arach	10	15	14	13				75	80	85	50	50	50	33	35	40	8	10	10	40	40	40																			1	1												1	1							1		SpiderLay	A2	4																						100	75	50	-50	-40	-25						0	14	0	32	0	0	42	70	0	161	0	0	84	3				33	66	132	5	3062	3893	128	296	453	576	376	0	0	0				4593	5840	203	352	680	864	600	0	0	0				8574	10900	203	634	1268	1613	800	0	0	0				A1	fire	40	21	42		40	25	50		40	25	50																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
arach5	126	arach1	arach6	4	SpiderMagus	arach5		arach	Arach		SP	1													3	4		11	15	1	89	192	302	arach	arach	10	15	14	13				75	85	90	55	55	55	20	25	30	8	8	8	45	45	45																			1	1												1	1							1		SpiderLay	A2	5																						100	75	50	-50	-40	-25						0	14	0	34	0	0	46	70	0	168	0	0	91	3				35	69	138	5	3062	3854	128	299	453	570	368	0	0	0				4593	5781	203	352	680	855	600	0	0	0				8574	10791	203	634	1268	1596	800	0	0	0				A1	pois	50	26	40	3000	50	50	120	3000	50	50	120	3000																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
thornhulk1	127	thornhulk1	thornhulk2	0	ThornedHulk	thornhulk1		thornhulk	ThornHulk		TH	1													1	2		4	4	1	81	178	284	thornhulk	thornhulk	10	15	14	13				80	80	80	15	15	15	10	10	10	30	30	30	5	3	1	3	4	5																1	1												1	1							1		MonFrenzy	A2	1																						100	85	75	-50	-40	-33						0	7	0	0	0	84	0	35	0	0	0	168	0	4				32	63	126	5	3105	5031	128	322	459	744	376	144	429	564				4658	7547	210	415	689	1116	630	216	644	720				8694	14087	210	749	1285	2083	840	288	858	960				A2	stun	100			7	100			7	100			7																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
thornhulk2	128	thornhulk1	thornhulk3	1	BrambleHulk	thornhulk2		thornhulk	ThornHulk		TH	1													1	2		4	4	1	84	181	288	thornhulk	thornhulk	10	15	14	13				85	85	85	25	25	25	10	10	10	40	40	40	5	3	1	3	4	5																1	1												1	1							1		MonFrenzy	A2	2																						100	85	75	-50	-40	-33						0	7	0	0	0	91	0	35	0	0	0	182	0	4				33	66	132	5	3105	5031	128	322	459	744	376	158	453	564				4658	7547	210	415	689	1116	630	237	680	720				8694	14087	210	749	1285	2083	840	316	906	960				A2	stun	100			7	100			7	100			7																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
thornhulk3	129	thornhulk1	thornhulk4	2	Thrasher	thornhulk3		thornhulk	ThornHulk		TH	1													1	3		4	4	1	89	188	292	thornhulk	thornhulk	10	15	14	13				90	90	90	40	40	40	10	10	10	50	50	50	5	3	1	3	4	5																1	1												1	1							1		MonFrenzy	A2	3																						100	85	75	-50	-40	-33						0	7	0	0	0	98	0	35	0	0	0	196	0	4				35	69	138	5	3105	5031	128	322	459	744	368	148	441	552				4658	7547	210	415	689	1116	630	222	662	720				8694	14087	210	749	1285	2083	840	296	882	960				A2	stun	100			7	100			7	100			7																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
thornhulk4	130	thornhulk1	thornhulk5	3	Spikefist	thornhulk4		thornhulk	ThornHulk		TH	1													2	4		4	4	1	104	208	302	thornhulk	thornhulk	10	15	14	13				100	100	100	50	50	50	10	10	10	55	55	55	5	3	1	3	4	5																1	1												1	1							1		MonFrenzy	A2	4																						100	85	75	-50	-40	-33						0	7	0	0	0	105	0	35	0	0	0	210	0	4				41	81	162	5	3081	5007	126	348	456	741	372	154	444	558				4622	7511	210	415	684	1112	630	231	666	720				8627	14020	210	749	1277	2075	840	308	888	960				A2	stun	100			7	100			7	100			7																													Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vampire1	131	vampire1	vampire2	0	GhoulLord	vampire1		vampire	Vampire	steals life	VA	1	1												1	2		8	8	1	73	178	288	vampire	vampire	11	15	14	13				55	55	55	20	40	50	24	25	25	25	25	35	3	3	3																			1							1			1			1	1		1							VampireFireball	SC	2	VampireFirewall	SC	2	VampireMeteor	SC	2	VampireMissile	SC	2													100	85	75	-50	-40	-25	30				50	20	8	0	9	7	77	35	42	0	46	35	154	70	3				29	57	114	5	3105	4278	126	288	459	633	372	0	0	0				4658	6417	150	479	689	950	720	0	0	0				8694	11978	150	864	1285	1772	960	0	0	0				A1	cold	60	38	115	25	60	50	100	50	60	50	100	75																													Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
vampire2	132	vampire1	vampire3	1	NightLord	vampire2		vampire	Vampire	steals life	VA	1	1												1	2		10	10	1	89	194	295	vampire	vampire	11	15	14	13				65	65	65	25	50	60	25	26	26	25	28	39	5	5	5																			1							1			1			1	1		1							VampireFireball	SC	3	VampireFirewall	SC	3	VampireMeteor	SC	3	VampireMissile	SC	3													100	85	75	-50	-40	-25	35				50	20	10	0	9	7	84	35	49	0	46	35	168	70	3				35	69	138	5	3105	4239	128	288	459	627	368	0	0	0				4658	6359	150	479	689	941	720	0	0	0				8694	11869	150	864	1285	1756	960	0	0	0				A1	cold	65	40	60	25	65	50	100	50	65	50	100	75																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
vampire3	133	vampire1	vampire4	2	DarkLord	vampire3		vampire	Vampire	steals life	VA	1	1												1	2		10	10	1	92	200	299	vampire	vampire	11	15	14	13				76	76	76	30	60	70	26	27	27	25	31	43	7	7	7																			1							1			1			1	1		1							VampireFireball	SC	4	VampireFirewall	SC	4	VampireMeteor	SC	4	VampireMissile	SC	4													100	85	75	-50	-40	-25	40				50	20	11	0	9	7	91	35	56	0	46	35	182	70	3				36	72	144	5	3105	4278	128	288	459	633	368	0	0	0				4658	6417	150	479	689	950	720	0	0	0				8694	11978	150	864	1285	1772	960	0	0	0				A1	cold	70	43	62	25	70	50	100	50	70	50	100	75																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
vampire4	134	vampire1	vampire5	3	BloodLord	vampire4		vampire	Vampire	steals life	VA	1	1												1	2		11	11	1	96	200	299	vampire	vampire	11	15	14	13				85	85	85	35	40	45	24	24	24	25	34	47	7	7	7																			1							1			1			1	1		1							VampireFireball	SC	5	VampireFirewall	SC	5	VampireMeteor	SC	5	VampireMissile	SC	5													100	85	75	-50	-40	-25	45				50	20	13	0	9	7	98	35	63	0	46	35	196	70	3				38	75	150	5	3081	4259	128	296	456	630	372	0	0	0				4622	6389	150	479	684	945	720	0	0	0				8627	11925	150	864	1277	1764	960	0	0	0				A1	cold	75	50	68	25	75	50	100	50	75	50	100	75																													Act 3 Cast C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) Cast C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) Cast C	Act 3 (H) Champ C	Act 3 (H) Unique C								0
vampire5	135	vampire1	vampire6	4	Banished	vampire5		vampire	Vampire	steals life	VA	1	1												1	1		13	13	1	46	156	263	vampire	vampire	11	15	14	13				85	85	85	40	70	80	28	28	28	25	37	51	1	1	1																			1							1			1			1	1		1							VampireFireball	SC	1	VampireFirewall	SC	1	VampireMeteor	SC	1	VampireMissile	SC	1													100	85	75	-50	-40	-25	20				50	20	14	0	9	7	105	35	70	0	46	35	210	70	3				20	39	78	5	3125	4298	126	291	462	636	372	0	0	0				4688	6447	150	479	693	954	720	0	0	0				8750	12034	150	864	1294	1781	960	0	0	0				A1	cold	55	50	87	25	55	50	100	50	55	50	100	75																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
batdemon1	136	batdemon1	batdemon2	0	DesertWing	batdemon1		batdemon	BatDemon	shocking hit	BT	1													1	2		10	10	1	58	160	284	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	60	65	70	50	55	60	8	8	8																			1	1								1				1	1																																	100	85	75	-50	-40	-33						0	4	7	28	0	0	0	21	35	140	0	0	0	2				24	48	96	5	893	3062	126	215	132	453	376	102	303	1164				1340	4593	165	256	198	680	600	153	455	1200				2500	8574	165	461	370	1268	800	204	606	1600				A2	ltng	65	70	100		65	5	180		65	5	240																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A						1	1	0
batdemon2	137	batdemon1	batdemon3	1	Fiend	batdemon2		batdemon	BatDemon	shocking hit	BT	1													1	2		11	11	1	73	181	284	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	65	70	75	50	56	62	8	8	8																			1	1								1				1	1																																	100	85	75	-50	-40	-33						0	4	7	0	31	0	0	21	35	0	154	0	0	2				29	57	114	5	932	3062	126	215	138	453	372	124	279	1002				1398	4593	165	256	207	680	600	186	419	1200				2610	8574	165	461	386	1268	800	248	558	1600				A2	ltng	70	61	92		70	5	180		70	5	240																														Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B						1	1	0
batdemon3	138	batdemon1	batdemon4	2	Gloombat	batdemon3		batdemon	BatDemon	shocking hit	BT	1													1	2		13	13	1	84	186	292	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	70	75	80	50	57	64	8	8	8																			1	1								1				1	1																																	100	85	75	-50	-40	-33						0	4	7	0	0	70	0	21	35	0	0	140	0	2				33	66	132	5	893	3062	128	215	132	453	376	158	366	936				1340	4593	165	256	198	680	600	237	549	1200				2500	8574	165	461	370	1268	800	316	732	1600				A2	ltng	75	64	100		75	5	180		75	5	240																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
batdemon4	139	batdemon1	batdemon5	3	BloodDiver	batdemon4		batdemon	BatDemon	shocking hit	BT	1													1	3		14	14	1	92	194	306	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	75	80	85	50	58	66	8	8	8																			1	1								1				1	1																																	100	85	75	-50	-40	-33						0	4	7	29	0	0	0	21	35	147	0	0	0	2				36	72	144	5	912	3062	128	215	135	453	368	176	414	924				1368	4593	165	256	203	680	600	264	621	1200				2554	8574	165	461	378	1268	800	352	828	1600				A2	ltng	80	62	93		80	5	180		80	5	240																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
batdemon5	140	batdemon1	batdemon6	4	DarkFamiliar	batdemon5		batdemon	BatDemon	shocking hit	BT	1													2	3		17	17	1	104	208	302	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	80	85	90	50	59	68	8	8	8																			1	1								1				1	1																																	100	85	75	-50	-40	-33						0	4	7	0	34	0	0	21	35	0	168	0	0	2				41	81	162	5	873	3062	126	233	129	453	372	212	495	876				1310	4593	165	256	194	680	600	318	743	1200				2444	8574	165	461	361	1268	800	424	990	1600				A2	ltng	85	64	100		85	5	180		85	5	240																														Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C						1	1	0
fetish1	141	fetish1	fetish2	0	RatMan	fetish1		fetish	Fetish		FE	1							fetish1		1	1	1	1	1	1		8	8	1	39	151	259	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1		SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33						0	0	0	28	9	23	35	0	0	140	46	46	70	2				17	33	66	5	1299	2231	126	210	192	330	364	0	0	0				1949	3347	188	239	288	495	570	0	0	0				3637	6247	188	432	538	924	760	0	0	0																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fetish2	142	fetish1	fetish3	1	Fetish	fetish2		fetish	Fetish		FE	1							fetish2		1	1	1	2	1	2		10	10	1	81	178	284	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1		SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33						0	0	0	9	28	23	35	0	0	46	140	46	70	2				32	63	126	5	1299	2169	128	207	192	321	376	0	0	0				1949	3254	188	239	288	482	570	0	0	0				3637	6073	188	432	538	899	760	0	0	0																																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fetish3	143	fetish1	fetish4	2	Flayer	fetish3		fetish	Fetish		FE	1							fetish3		1	1	1	3	1	2		11	11	1	84	181	288	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1		SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33						0	0	0	9	9	70	35	0	0	46	46	140	70	2				33	66	132	5	1338	2169	128	207	198	321	376	0	0	0				2007	3254	188	239	297	482	570	0	0	0				3746	6073	188	432	554	899	760	0	0	0																																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fetish4	144	fetish1	fetish5	3	SoulKiller	fetish4		fetish	Fetish		FE	1							fetish4		1	1	2	3	1	2		13	13	1	89	186	292	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1		SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33						0	0	0	9	31	23	35	0	0	46	154	46	70	2				35	69	138	5	1319	2169	128	207	195	321	368	0	0	0				1979	3254	188	239	293	482	570	0	0	0				3693	6073	188	432	546	899	760	0	0	0																																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
fetish5	145	fetish1	fetish6	4	StygianDoll	fetish5		fetish	Fetish		FE	1							fetish5		1	1	2	4	1	3		14	14	1	92	194	299	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1		SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33						0	0	0	28	9	23	35	0	0	140	46	46	70	2				36	72	144	5	1319	2169	128	207	195	321	368	0	0	0				1979	3254	188	239	293	482	570	0	0	0				3693	6073	188	432	546	899	760	0	0	0																																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
cain1	146	cain1		0	DeckardCain	cain1		human	NpcOutOfTown		DC	1													1	1		3	3	0	0	0	0	mednpc	mednpc		15	15	15																																				1	1	1	1	1		1									1																																												0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0		0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0																																																																0
gheed	147	gheed		0	Gheed	gheed		human	Npc		GH	1													1	1		6	6	0	0	0	0	mednpc	mednpc		15	15	15																																				1	1	1	1	1	1	1									1																																												0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0		0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0																																																																0
akara	148	akara		0	Akara	akara		human	Npc		PS	1													1	1		1	1	0	0	0	0	lightnpc	lightnpc		15	15	15																																				1	1	1	1	1	1	1									1																																												0	0	0	0	0	0	0	0	0	0	0	0	0	2				0	0	0		0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0																																																																0
