Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Mammoth	100	1	1	118		102			6	410	hp		324	360										cred	swor										0	0	0
of the Colossus	100	1		150		134			6	410	hp		360	432										cred	swor										0	0	0
ED1	100	1	1	2	80	0			6	410	dmg-cold	125	40	200											swor										0	0	0
ED2	100	1	1	100	160	80			6	410	dmg-cold	125	120	280											swor										0	0	0
ED3	100	1	1	200		180			6	410	dmg-cold	125	200	360											swor										0	0	0
ED4	100	1	1	300		280			6	410	dmg-cold	125	280	480											swor										0	0	0
ED1	100	1	1	2	80	0			6	410	dmg-pois	125	40	200											swor										0	0	0
ED2	100	1	1	100	160	80			6	410	dmg-pois	125	120	280											swor										0	0	0
ED3	100	1	1	200		180			6	410	dmg-pois	125	200	360											swor										0	0	0
ED4	100	1	1	300		280			6	410	dmg-pois	125	280	480											swor										0	0	0
ED1	100	1	1	2	80	0			6	410	dmg-fire		40	200											swor										0	0	0
ED2	100	1	1	100	160	80			6	410	dmg-fire		120	280											swor										0	0	0
ED3	100	1	1	200	0	180			6	410	dmg-fire		200	360											swor										0	0	0
ED4	100	1	1	300		280			6	410	dmg-fire		280	480											swor										0	0	0
ED1	100	1	1	2	80	0			6	410	dmg-ltng		40	200											swor										0	0	0
ED2	100	1	1	100	160	80			6	410	dmg-ltng		120	280											swor										0	0	0
ED3	100	1	1	200		180			6	410	dmg-ltng		200	360											swor										0	0	0
ED4	100	1	1	300		280			6	410	dmg-ltng		280	480											swor										0	0	0
ED1	100	1	1	2	80	0			4	410	dmg-mag		40	200											swor										0	0	0
ED2	100	1	1	100	160	80			4	410	dmg-mag		120	280											swor										0	0	0
ED3	100	1	1	200		180			4	410	dmg-mag		200	360											swor										0	0	0
ED4	100	1	1	300		280			4	410	dmg-mag		280	480											swor										0	0	0
ED4	100	1	1	2		2			7	410	swing1		40	120											swor										0	0	0
ED4	100	1	1	90		90			7	410	ac/lvl	8													swor										0	0	0
ED4	100	1	1	120		120			7	410	ac%/lvl	6													swor										0	0	0
