name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Spear	spea		spr	spr	spr	0		4	1				1	6	22			15	3	-10	100		0	26	39		8	0	300	407			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	spt	pik	1	0
Trident	spea		tri	tri	tri	0		4	1				1	21	22			15	3		100		49	31	46		14	0	683	822			spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1			20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	spt	pik	1	0
Brandistock	spea		brn	brn	brn	0		4	1				1	17	26			15	4	-20	100		52	65	36		26	0	1162	1819			spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	xxx	pik	1	0
Spetum	spea		spt	tri	spt	0		4	1				1	33	34			15	4		100		70	46	36		32	0	1672	2872			spr	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	8	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255			5	8	0	xxx	xxx	1	0
Pike	spea		pik	pik	pik	0		4	1				1	30	93			15	4	20	100		78	59	33		38	0	2023	3941			spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	8	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Bardiche	pole		bar	hal	bar	0		4	1				1	2	40				2	10	100		52	0	65		8	0	302	407			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	hal	wsc	1	0
Voulge	pole		vou	hal	vou	0		4	1				1	14	31				2		100		65	0	65		18	0	611	920			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	hal	wsc	1	0
Scythe	pole		scy	scy	scy	0		4	1				1	18	30				1	-10	100		53	53	85		24	0	848	1420			hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255				1	255			1	1	20					255				1	1					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			5	8	0	hal	wsc	1	0
Poleaxe	pole		pax	hal	pax	0		4	1				1	41	58				3	10	100		81	0	85		34	0	1701	3045			hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255			5	8	0	xxx	xxx	1	0
Halberd	pole		hal	pax	hal	0		4	1				1	27	68				4		100		98	61	72		46	0	2706	5968			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255			5	8	0	xxx	xxx	1	0
War Scythe	pole		wsc	scy	wsc	0		3	1				1	33	54				4	-10	100		104	104	72		54	0	3388	8419			hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	8	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					20					255					255					255					255					255			1	2	20					255			1	1	20					255					255			5	8	0	xxx	xxx	1	0
Short Staff	staf		sst	bst	sst	0		2	1				1	12	12				1	-10	100		0	0	26		2	0	168	198	1		bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255			5	8	0	cst	bst	1	0
Long Staff	staf		lst	sst	lst	0		2	1				1	5	12				1		100		0	0	39		13	0	463	638	1		bst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255			5	8	0	cst	wst	1	0
Gnarled Staff	staf		cst	cst	cst	0		2	1				1	8	18				1	10	100		0	0	46		19	0	766	1106	1		bst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255			5	8	0	xxx	wst	1	0
Battle Staff	staf		bst	sst	bst	0		2	1				1	14	19				1		100		0	0	52		27	0	1223	1987	1		bst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255	2	3	1	3	20					255					255	2	3	1	4	20			5	8	0	xxx	xxx	1	0
War Staff	staf		wst	lst	wst	0		2	1				1	27	42				1	20	100		0	0	65		38	0	1985	3884	1		bst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	8	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255	1	2	1	2	20					255					255	1	3	1	4	20			5	8	0	xxx	xxx	1	0
Short Bow	bow		sbw	sbw	sbw	0		2	1				1	2	5			13		-20		100	0	20	26	1	2	0	100	194			sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255			5	8	0	hbw	cbw	1	0
Hunter's Bow	bow		hbw	sbw	hbw	0		2	1				1	5	9			13		-20		100	0	36	42	1	8	0	350	422			sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1		1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	lbw	sbb	1	0
Long Bow	bow		lbw	lbw	lbw	0		2	1				1	6	15			13		-20		100	29	25	36	1	13	0	490	652			sbw	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	8	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255	1	1	1	1	20					255			1	1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	cbw	lbb	1	0
Composite Bow	bow		cbw	lbw	cbw	0		2	1				1	8	12			13		-20		100	33	46	47	1	19	0	727	1077			sbw	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255		1			255		1			255		1			255					255					255					255					255					255			5	8	0	sbb	swb	1	0
Short Battle Bow	bow		sbb	sbb	sbb	0		2	1				1	12	16			13		-20		100	39	52	52	1	29	0	1045	1895			sbw	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8	0	lbb	lwb	1	0
Long Battle Bow	bow		lbb	lbb	lbb	0		2	1				1	6	27			13		-20		100	52	65	57	1	37	0	1545	3096			sbw	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	8	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8	0	swb	lwb	1	0
Short War Bow	bow		swb	sbb	swb	0		2	1				1	14	20			13		-20		100	46	72	62	1	43	0	2500	5219			sbw	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8	0	lwb	xxx	1	0
Long War Bow	bow		lwb	lbb	lwb	0		2	1				1	6	34			13		-20		100	65	85	72	1	50	0	3575	8052			sbw	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	8	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Light Crossbow	xbow		lxb	lxb	lxb	0		2	1				1	13	14					-20		100	27	35	39	1	10	0	803	645			lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1		1		1	1					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255			5	8	0	mxb	rxb	1	0
Crossbow	xbow		mxb	lxb	mxb	0		2	1				1	21	24					-20		100	52	43	52	1	24	0	2345	2824			lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	hxb	hxb	1	0
Heavy Crossbow	xbow		hxb	hxb	hxb	0		2	1				1	30	39					-20		100	78	52	65	1	38	0	4096	7051			lxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	8	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20		1	1	1	20					255					255			5	8	0	xxx	xxx	1	0
Repeating Crossbow	xbow		rxb	hxb	rxb	0		2	1				1	14	18					-20		100	52	65	52	1	53	0	2739	6837			lxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	6	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Rancid Gas Potion	tpot		gps	gpl	gps	0			1	0	1		0										0	0	3	1	51	38	200	0			gpl	gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			49	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
Oil Potion	tpot		ops	opl	ops	0			1	0	1												0	0	3	1	45	32	150	0			opl	ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			46	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
Choking Gas Potion	tpot		gpm	gps	gpm	0			1	0	1												0	0	3	1	32	26	120	0			gps	gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			48	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
Exploding Potion	tpot		opm	opl	opm	0			1	0	1		0										0	0	3	1	26	19	80	0			opl	opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			45	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
Strangling Gas Potion	tpot		gpl	gps	gpl	0			1	0	1												0	0	3	1	13	10	40	0			gps	gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			47	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
Fulminating Potion	tpot		opl	ops	opl	0			1	0	1												0	0	3	1	6	0	24	0			ops	opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops			1	1	0		0	item_potion	14	item_potion	0	0	5	0	1	0			44	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	1
decoy dagger	knif		d33	dgr	d33	0				1	3									-20	100		20	26	13		0	0	666	0			dgr	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0
Gidbinn	knif		g33	dgr	g33	0				4	11									-20	100		20	33	39		0	0	666	0			dgr	g33			1ht	1ht	5	1ht	1	2					flpg33	invg33			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0
Wirt's Leg	club		leg	clb	leg	0				3	12									-10	100		0	0	86		0	0	20	0			clb	leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0	1	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Horadric Malus	hamm		hdm	whm	hdm	0				9	22		0							20	100		20	20	72		0	0	600	0			whm	hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr			1	2	0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0
Hellforge Hammer	hamm		hfh	whm	hfh	0				9	22		0								100		0	0	72		0	0	600	0			whm	hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	6	0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
Horadric Staff	staf		hst	bst	hst	0							1	18	30				2		100		39	0	65		0	0	1223	0			bst	hst			stf	stf	5	staf	1	4					flphst	invhst			1	4	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
Staff of the Kings	staf		msf	bst	msf	0							1	15	22				2		100		33	0	59		0	0	1223	0			bst	msf			stf	stf	5	staf	1	3					flpmsf	invmsf			1	3	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
Hatchet	axe		9ha	hax	9ha	0		3	1	15	31										100		33	33	36		50	30	810	2695			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Cleaver	axe		9ax	axe	9ax	0		4	1	15	49								1	10	100		88	0	31		54	35	1509	4426			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Twin Axe	axe		92a	axe	92a	0		4	1	19	57								1	10	100		111	0	31		62	40	2919	8490			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Crowbill	axe		9mp	axe	9mp	0		4	1	20	50								1	-10	100		122	91	34		69	40	4563	13763			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Naga	axe		9wa	hax	9wa	0		4	1	24	68								2		100		157	0	34		77	40	6669	21664			hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Military Axe	axe		9la	lax	9la	0		4	1				1	20	50				1	-10	100		95	0	39		54	35	1362	4113			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Bearded Axe 	axe		9ba	lax	9ba	0		4	1				1	31	73				1		100		120	0	46		61	40	2718	7799			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Tabar	axe		9bt	btx	9bt	0		4	1				1	35	115				1	10	100		131	0	52		67	40	4086	12195			btx	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Gothic Axe	axe		9ga	btx	9ga	0		4	1				1	27	104				2	-10	100		150	103	65		74	40	6048	18982			btx	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	8	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Ancient Axe	axe		9gi	gix	9gi	0		4	1				1	63	127				3	10	100		163	0	65		82	40	7530	25752			gix	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Burnt Wand	wand		9wn	wnd	9wn	0		1	1	12	27										100		33	0	20		50	30	915	2898	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Petrified Wand	wand		9yw	ywn	9yw	0		1	1	12	35									10	100		33	0	20		61	40	2535	7365	1		ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Tomb Wand	wand		9bw	bwn	9bw	0		1	1	15	32									-20	100		33	0	20		69	40	4188	12756	1		bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Grave Wand	wand		9gw	bwn	9gw	0		1	1	19	43										100		33	0	20		78	40	6594	21882	1		bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Cudgel	club		9cl	clb	9cl	0		1	1	9	31									-10	100		33	0	31		48	29	396	1837			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Rune Scepter	scep		9sc	mac	9sc	0		2	1	19	35										100		75	0	65		50	30	1350	3741			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Holy Water Sprinkler	scep		9qs	mac	9qs	0		4	1	20	54								1	10	100		99	0	78		64	40	3627	10474			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Divine Scepter	scep		9ws	whm	9ws	0		4	1	24	57								1	-10	100		134	0	91		72	40	7269	22007			whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	6	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Barbed Club	club		9sp	clb	9sp	0		3	1	19	38								1		100		39	0	47		51	32	975	3107			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Flanged Mace	mace		9ma	mac	9ma	0		4	1	22	34										100		79	0	78		56	37	1689	4945			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Jagged Star	mace		9mt	mac	9mt	0		4	1	30	46								1	10	100		96	0	94		62	40	2832	8278			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
